Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-4436;Мізоцький парк;Mizotskyi park;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°24'23""";"E 26°9'16"""
П-4462;Карпилівський;Karpylivskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°9'5""";"E 27°5'57"""
П-4476;Вікові дубові насадження;Vikovi dubovi nasadzhennia;заповідне урочище;місцевого значення;Рівненська обл.;р-н Костопільський;"N 50°45'35""";"E 26°26'22"""
П-4493;Воронківський;Voronkivskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Володимирецький;"N 51°34'45""";"E 26°4'18"""
П-4495;Глинівський;Hlynivskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°30'35""";"E 27°19'58"""
П-4496;Грабунський;Hrabunskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°33'51""";"E 27°11'56"""
П-4505;Кар'єр кембрійських глин;Karier kembriiskykh hlyn;геологічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°42'54""";"E 26°15'24"""
П-4513;Літвицький;Litvytskyi;заказник лісовий;місцевого значення;Рівненська обл.;р-н Дубровицький;"N 51°35'25""";"E 26°22'13"""
П-4519;Мощаницький;Moshchanytskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°18'43""";"E 26°4'49"""
П-4520;Нараївський;Naraivskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°23'48""";"E 25°58'28"""
П-4522;Озерянський;Ozerianskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°28'34""";"E 26°3'52"""
П-4527;Ельнівський;Elnivskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°29'45""";"E 27°6'46"""
П-4529;Залавський;Zalavskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°20'9""";"E 27°20'18"""
П-4550;Урочище Медин;Urochyshche Medyn;заказник лісовий;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°24'53""";"E 27°14'5"""
П-4566;Лев'ятинське болото;Leviatynske boloto;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Радивилівський;"N 50°7'18""";"E 25°14'29"""
П-4570;Михайлівський;Mykhailivskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Радивилівський;"N 50°11'14""";"E 25°19'26"""
П-4571;Мушнянський;Mushnianskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°30'22""";"E 27°33'30"""
П-4588;Мар'янівський;Marianivskyi;заказник орнітологічний;місцевого значення;Рівненська обл.;р-н Костопільський;"N 50°57'41""";"E 26°26'54"""
П-4589;Урочище Вичивки;Urochyshche Vychyvky;заказник орнітологічний;місцевого значення;Рівненська обл.;р-н Демидівський;"N 50°29'11""";"E 25°16'9"""
П-4590;Урочище Вовча гора;Urochyshche Vovcha hora;заказник орнітологічний;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°17'19""";"E 26°34'48"""
П-4609;Урочище Солонівське;Urochyshche Solonivske;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Радивилівський;"N 50°21'53""";"E 25°9'10"""
П-4694;Джерело Батиївка;Dzherelo Batyivka;гідрологічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°20'23""";"E 26°16'54"""
П-4702;Партизанський;Partyzanskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Володимирецький;"N 51°37'10""";"E 25°39'8"""
П-4703;Новоставський;Novostavskyi;заказник лісовий;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°47'42""";"E 25°54'1"""
П-4719;Карасинський;Karasynskyi;заказник лісовий;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°27'12""";"E 26°48'17"""
П-4760;Урочище Глуща;Urochyshche Hlushcha;заказник загальнозоологічний;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°47'36""";"E 25°39'56"""
