Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-4670;Урочище Калинове;Urochyshche Kalynove;заказник ландшафтний;місцевого значення;Київська обл.;р-н Обухівський;"N 50°7'3""";"E 30°50'8"""
П-4687;Борові ділянки;Borovi dilianky;заказник лісовий;місцевого значення;Київська обл.;р-н Бородянський;"N 50°37'20""";"E 29°38'48"""
П-4689;Бушівський;Bushivskyi;заказник лісовий;місцевого значення;Київська обл.;р-н Рокитнянський;"N 49°38'16""";"E 30°33'37"""
П-4699;Городещено;Horodeshcheno;заказник ботанічний;місцевого значення;Київська обл.;р-н Поліський;"N 51°6'33""";"E 29°41'46"""
П-4701;Дубина;Dubyna;заказник ботанічний;місцевого значення;Київська обл.;р-н Баришівський;"N 50°15'11""";"E 31°29'17"""
П-4843;"Ново-Петрівський геологічний
розріз";"Novo-Petrivskyi heolohichnyi
rozriz";геологічна пам'ятка природи;місцевого значення;Київська обл.;р-н Вишгородський;"N 50°37'35""";"E 30°21'23"""
П-4866;Вепрове;Veprove;заповідне урочище;місцевого значення;Київська обл.;р-н Макарівський;"N 50°21'18""";"E 29°41'34"""
П-4869;Іллінський;Illinskyi;заказник гідрологічний;загальнодержавного значення;Київська обл.;р-н Поліський;"N 51°25'6""";"E 29°36'16"""
П-4924;Вибла Могила;Vybla Mohyla;комплексна пам'ятка природи;місцевого значення;Київська обл.;р-н Баришівський;"N 50°15'18""";"E 31°30'20"""
П-4932;Чапля;Chaplia;заказник орнітологічний;місцевого значення;Київська обл.;р-н Іванківський;"N 50°56'16""";"E 29°58'39"""
П-4933;Чорний лелека;Chornyi leleka;заказник орнітологічний;місцевого значення;Київська обл.;р-н Іванківський;"N 51°1'56""";"E 29°52'52"""
П-4966;Бабині лози;Babyni lozy;заказник гідрологічний;місцевого значення;Київська обл.;р-н Тетіївський;"N 49°14'33""";"E 29°45'10"""
П-4999;Великівське болото;Velykivske boloto;заказник гідрологічний;місцевого значення;Київська обл.;р-н Броварський;"N 50°43'43""";"E 30°50'21"""
П-5036;Подільський;Podilskyi;заказник гідрологічний;місцевого значення;Київська обл.;р-н Баришівський;"N 50°12'30""";"E 31°21'55"""
П-5047;Димерський;Dymerskyi;заказник гідрологічний;місцевого значення;Київська обл.;р-н Вишгородський;"N 50°56'22""";"E 30°19'56"""
П-5061;Атамановий гай;Atamanovyi hai;заказник ботанічний;місцевого значення;Київська обл.;р-н Макарівський;"N 50°32'25""";"E 29°38'12"""
П-5126;Щербаки;Shcherbaky;геологічна пам'ятка природи;місцевого значення;Київська обл.;р-н Білоцерківський;"N 49°38'27""";"E 29°56'42"""
П-5172;Малишки;Malyshky;заповідне урочище;місцевого значення;Київська обл.;р-н Білоцерківський;"N 49°41'56""";"E 30°8'22"""
П-5245;"Студенківські дубові
насадження";"Studenkivski dubovi
nasadzhennia";заповідне урочище;місцевого значення;Київська обл.;"р-н Переяслав-
Хмельницький";"N 50°9'24""";"E 31°33'42"""
П-5281;Згурівський;Zghurivskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Київська обл.;р-н Згурівський;"N 50°29'45""";"E 31°47'9"""
П-5388;Чорнобильський спеціальний;Chornobylskyi spetsialnyi;заказник загальнозоологічний;загальнодержавного значення;Київська обл.;р-н Іванківський;"N 51°10'40""";"E 30°11'58"""
П-5518;Жорнівський;Zhornivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Київська обл.;р-н Києво-Святошинський;"N 50°18'20""";"E 30°8'38"""
П-5605;Катюжанський;Katiuzhanskyi;заказник гідрологічний;місцевого значення;Київська обл.;р-н Вишгородський;"N 50°50'18""";"E 30°10'57"""
П-5610;Діброва;Dibrova;заказник ботанічний;місцевого значення;Київська обл.;"р-н Переяслав-
Хмельницький";"N 50°10'47""";"E 31°33'7"""
П-5638;Вікові дубові насадження;Vikovi dubovi nasadzhennia;заповідне урочище;місцевого значення;Київська обл.;р-н Поліський;"N 51°21'41""";"E 29°43'28"""
П-691;Маслівський;Maslivskyi;заказник ботанічний;місцевого значення;Київська обл.;р-н Миронівський;"N 49°42'2""";"E 31°10'35"""
П-95;Ташанський;Tashanskyi;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Київська обл.;"р-н Переяслав-
Хмельницький";"N 50°2'1""";"E 31°51'39"""
