Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1429;Сокиричі;Sokyrychi;ботанічна пам'ятка природи;місцевого значення;Волинська обл.;р-н Ківерцівський;"N 50°53'45""";"E 25°38'24"""
П-1433;Прибужжя;Prybuzhzhia;заказник загальнозоологічний;місцевого значення;Волинська обл.;р-н Іваничівський;"N 50°42'8""";"E 24°4'36"""
П-1436;Смолярівський;Smoliarivskyi;заказник загальнозоологічний;місцевого значення;Волинська обл.;р-н Старовижівський;"N 51°27'52""";"E 24°21'12"""
П-1437;Соловичівський;Solovychivskyi;заказник загальнозоологічний;місцевого значення;Волинська обл.;р-н Турійський;"N 51°2'53""";"E 24°32'18"""
П-1438;Старовижівський;Starovyzhivskyi;заказник загальнозоологічний;місцевого значення;Волинська обл.;р-н Старовижівський;"N 51°29'32""";"E 24°30'16"""
П-1440;Тельчівський;Telchivskyi;заказник загальнозоологічний;місцевого значення;Волинська обл.;р-н Маневицький;"N 51°10'26""";"E 25°49'56"""
П-1441;Тоболівський;Tobolivskyi;заказник загальнозоологічний;місцевого значення;Волинська обл.;р-н Любешівський;"N 51°37'13""";"E 25°29'35"""
П-1445;Скулинський;Skulynskyi;заказник ландшафтний;місцевого значення;Волинська обл.;р-н Ковельський;"N 51°15'49""";"E 24°52'20"""
П-1452;Стохід;Stokhid;заказник ландшафтний;місцевого значення;Волинська обл.;р-н Ковельський;"N 51°19'46""";"E 25°10'33"""
П-1465;Соснина-2;Sosnyna-2;ботанічна пам'ятка природи;місцевого значення;Волинська обл.;р-н Ковельський;"N 51°7'16""";"E 24°48'42"""
П-1466;Соснова дача;Sosnova dacha;ботанічна пам'ятка природи;місцевого значення;Волинська обл.;р-н Ковельський;"N 51°17'43""";"E 24°49'51"""
П-1468;Туричанський;Turychanskyi;заказник загальнозоологічний;місцевого значення;Волинська обл.;р-н Турійський;"N 51°3'29""";"E 24°22'16"""
П-1469;Урочище Стахор;Urochyshche Stakhor;заказник загальнозоологічний;місцевого значення;Волинська обл.;р-н Ковельський;"N 51°7'7""";"E 24°59'36"""
П-1470;Устилузький;Ustyluzkyi;заказник загальнозоологічний;місцевого значення;Волинська обл.;"р-н Володимир-
Волинський";"N 50°53'8""";"E 24°6'43"""
П-1473;Чорторийський;Chortoryiskyi;заказник загальнозоологічний;місцевого значення;Волинська обл.;р-н Маневицький;"N 51°15'10""";"E 25°48'51"""
П-1474;Шепель;Shepel;заказник загальнозоологічний;місцевого значення;Волинська обл.;р-н Луцький;"N 50°46'53""";"E 25°5'38"""
П-1496;Соснова субір;Sosnova subir;ботанічна пам'ятка природи;місцевого значення;Волинська обл.;р-н Маневицький;"N 51°8'32""";"E 25°23'26"""
