Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-3360;Балка Павлівська;Balka Pavlivska;заказник ботанічний;місцевого значення;Дніпропетровська обл.;р-н Дніпровський;"N 48°27'1""";"E 35°15'30"""
П-3363;Бакаї;Bakai;заказник ландшафтний;загальнодержавного значення;Дніпропетровська обл.;р-н Васильківський;"N 48°8'50""";"E 36°1'42"""
П-3364;Преображенський;Preobrazhenskyi;заказник ландшафтний;загальнодержавного значення;Дніпропетровська обл.;р-н Васильківський;"N 48°16'44""";"E 35°58'36"""
П-3426;Гранітні скелі;Hranitni skeli;геологічна пам'ятка природи;місцевого значення;Дніпропетровська обл.;р-н Дніпровський;"N 48°17'25""";"E 35°10'5"""
П-3445;Топчинський;Topchynskyi;заказник ентомологічний;місцевого значення;Дніпропетровська обл.;р-н Магдалинівський;"N 48°58'42""";"E 34°50'46"""
П-3448;Виходи аркозових пісковиків;Vykhody arkozovykh piskovykiv;геологічна пам'ятка природи;місцевого значення;Дніпропетровська обл.;Криворізька міськрада;"N 47°50'15""";"E 33°20'11"""
П-3545;Горіховий сад;Horikhovyi sad;заповідне урочище;місцевого значення;Дніпропетровська обл.;р-н Верхньодніпровський;"N 48°43'3""";"E 34°10'36"""
П-356;Богданівський;Bohdanivskyi;заказник ландшафтний;загальнодержавного значення;Дніпропетровська обл.;р-н Нікопольський;"N 47°41'41""";"E 34°6'35"""
П-357;Урочище Яцево;Urochyshche Yatsevo;заказник лісовий;загальнодержавного значення;Дніпропетровська обл.;р-н Дніпропетровський;"N 48°19'59""";"E 35°12'2"""
П-358;Велика Западня;Velyka Zapadnia;заказник лісовий;загальнодержавного значення;Дніпропетровська обл.;р-н Верхньодніпровський;"N 48°41'4""";"E 34°16'17"""
П-3581;Балка Ягідна;Balka Yahidna;заказник ботанічний;місцевого значення;Дніпропетровська обл.;р-н Новомосковський;"N 48°29'20""";"E 35°18'37"""
П-3583;Грабівський;Hrabivskyi;заказник ботанічний;загальнодержавного значення;Дніпропетровська обл.;р-н П'ятихатський;"N 48°45'0""";"E 33°52'7"""
П-3589;Балка Бубликова;Balka Bublykova;заказник ботанічний;місцевого значення;Дніпропетровська обл.;р-н Дніпровський;"N 48°26'15""";"E 35°15'20"""
П-359;Грушеватський;Hrushevatskyi;заказник лісовий;загальнодержавного значення;Дніпропетровська обл.;р-н П’ятихатський;"N 48°23'22""";"E 33°49'37"""
П-3590;Булахівський лиман;Bulakhivskyi lyman;заказник орнітологічний;загальнодержавного значення;Дніпропетровська обл.;р-н Павлоградський;"N 48°37'12""";"E 35°39'21"""
П-360;Комісарівський;Komisarivskyi;заказник лісовий;загальнодержавного значення;Дніпропетровська обл.;р-н П’ятихатський;"N 48°31'35""";"E 33°53'55"""
