Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1857;Городоцька дача I;Horodotska dacha I;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Городоцький;"N 49°13'41""";"E 26°37'7"""
П-1868;Андронівський;Andronivskyi;заказник загальнозоологічний;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°56'33""";"E 27°6'2"""
П-1880;Малі та Великі Луки;Mali ta Velyki Luky;заказник ландшафтний;місцевого значення;Хмельницька обл.;р-н Полонський;"N 50°9'47""";"E 27°39'16"""
П-1884;Мислятинський;Mysliatynskyi;заказник ландшафтний;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°5'19""";"E 26°43'23"""
П-1887;Городоцька дача II;Horodotska dacha Ii;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Городоцький;"N 49°13'47""";"E 26°36'51"""
П-1889;Група вікових дерев;Hrupa vikovykh derev;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Теофіпольський;"N 49°47'34""";"E 26°16'44"""
П-1890;Група віковічних дерев;Hrupa vikovichnykh derev;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Теофіпольський;"N 49°43'22""";"E 26°28'53"""
П-1891;Група вікових дерев;Hrupa vikovykh derev;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Городоцький;"N 49°4'35""";"E 26°36'26"""
П-1903;Підсніжник звичайний;Pidsnizhnyk zvychainyi;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Славутський;"N 50°17'39""";"E 26°59'20"""
П-191;Кошарнинський;Kosharnynskyi;заказник ландшафтний;загальнодержавного значення;Хмельницька обл.;р-н Городоцький;"N 49°10'21""";"E 26°37'14"""
П-194;Циківський;Tsykivskyi;заказник ландшафтний;загальнодержавного значення;Хмельницька обл.;"р-н Кам'янець-
Подільський";"N 48°51'24""";"E 26°34'13"""
П-1943;Плужнянська дача;Pluzhnianska dacha;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°11'44""";"E 26°36'0"""
П-1956;Лизнявський;Lyzniavskyi;заказник загальнозоологічний;місцевого значення;Хмельницька обл.;р-н Шепетівський;"N 50°19'28""";"E 27°15'43"""
П-1992;Лютарський;Liutarskyi;заказник загальнозоологічний;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°10'51""";"E 26°42'26"""
П-2000;Пеньківський;Penkivskyi;заказник загальнозоологічний;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°55'16""";"E 27°2'59"""
П-2020;Дзвінки;Dzvinky;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Білогірський;"N 50°4'28""";"E 26°25'49"""
П-2022;Печиводська;Pechyvodska;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Славутський;"N 50°32'25""";"E 27°5'15"""
П-2024;Решнівська;Reshnivska;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°48'24""";"E 27°23'0"""
П-2029;Северин;Severyn;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°54'4""";"E 27°32'3"""
П-2031;Сковородецькі краєвиди;Skovorodetski kraievydy;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°37'5""";"E 27°12'43"""
П-2040;Шарівський;Sharivskyi;парк;місцевого значення;Хмельницька обл.;р-н Ярмолинецький;"N 49°13'0""";"E 26°57'39"""
П-2041;Шелехівський;Shelekhivskyi;парк;місцевого значення;Хмельницька обл.;р-н Деражнянський;"N 49°6'32""";"E 27°28'42"""
П-2065;Стецьківська;Stetskivska;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°46'2""";"E 27°12'6"""
П-2070;Урочище Жолоби;Urochyshche Zholoby;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°2'12""";"E 26°34'36"""
П-2082;Розріз джурджівських відкладів;Rozriz dzhurdzhivskykh vidkladiv;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Новоушицький;"N 48°54'35""";"E 27°7'35"""
П-2083;Розріз зіньківських шарів;Rozriz zinkivskykh shariv;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Віньковецький;"N 49°2'58""";"E 27°4'18"""
П-2084;Розріз калюських відкладів;Rozriz kaliuskykh vidkladiv;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Новоушицький;"N 48°44'38""";"E 27°16'23"""
П-2085;Розріз калюських горизонтів;Rozriz kaliuskykh horyzontiv;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Дунаєвецький;"N 48°50'58""";"E 27°5'20"""
П-2086;Розріз магматидів і гнейсів;Rozriz mahmatydiv i hneisiv;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Шепетівський;"N 50°13'43""";"E 27°3'53"""
П-2087;Розріз нагорнянської свити;Rozriz nahornianskoi svyty;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Дунаєвецький;"N 48°50'45""";"E 27°5'32"""
П-2088;"Розріз нагорнянської та
канилівської свити";"Rozriz nahornianskoi ta
kanylivskoi svyty";геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Новоушицький;"N 48°41'22""";"E 27°12'26"""
П-2089;Розріз тортонського ярусу;Rozriz tortonskoho yarusu;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Новоушицький;"N 48°46'34""";"E 27°16'24"""
П-2103;Білецький;Biletskyi;парк;місцевого значення;Хмельницька обл.;р-н Полонський;"N 49°54'3""";"E 27°22'50"""
П-2120;Скелі-виходи пегматитів;Skeli-vykhody pehmatytiv;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°46'58""";"E 27°29'17"""
