Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-3171;Святилівський;Sviatylivskyi;заказник орнітологічний;загальнодержавного значення;Полтавська обл.;р-н Глобинський;"N 49°25'22""";"E 32°46'21"""
П-3177;Рогозів куток;Rohoziv kutok;заказник гідрологічний;загальнодержавного значення;Полтавська обл.;р-н Семенівський;"N 49°45'26""";"E 32°53'19"""
П-3178;Середньосульський;Serednosulskyi;заказник гідрологічний;загальнодержавного значення;Полтавська обл.;р-н Лохвицький;"N 50°25'0""";"E 33°16'43"""
П-3198;Зіньківщина;Zinkivshchyna;заповідне урочище;місцевого значення;Полтавська обл.;р-н Котелевський;"N 50°6'2""";"E 34°42'14"""
П-3214;Білецьківські плавні;Biletskivski plavni;заказник ландшафтний;загальнодержавного значення;Полтавська обл.;р-н Кременчуцький;"N 49°2'53""";"E 33°22'15"""
П-3236;Забрід;Zabrid;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°20'58""";"E 33°45'17"""
П-3237;Загать;Zahat;заповідне урочище;місцевого значення;Полтавська обл.;р-н Оржицький;"N 49°48'16""";"E 32°40'27"""
П-3245;Радьки;Radky;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°49'29""";"E 33°15'26"""
П-3254;Короленкова дача;Korolenkova dacha;заказник ландшафтний;загальнодержавного значення;Полтавська обл.;р-н Шишацький;"N 49°59'25""";"E 34°1'43"""
П-3259;Лучківський;Luchkivskyi;заказник ландшафтний;загальнодержавного значення;Полтавська обл.;р-н Кобеляцький;"N 48°58'21""";"E 34°8'51"""
П-3286;"Парк на садибі Панаса
Мирного";Park na sadybi Panasa Myrnoho;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Полтавська обл.;Полтавська міськрада;"N 49°36'0""";"E 34°33'4"""
П-3288;Петровський;Petrovskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Полтавська обл.;Полтавська міськрада;"N 49°36'9""";"E 34°34'36"""
П-3382;Куквинський;Kukvynskyi;заказник гідрологічний;загальнодержавного значення;Полтавська обл.;р-н Пирятинський;"N 50°9'58""";"E 32°39'9"""
П-3387;Сосновий парк;Sosnovyi park;ботанічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Лохвицький;"N 50°21'38""";"E 33°16'6"""
П-3396;Кут;Kut;заказник ботанічний;місцевого значення;Полтавська обл.;р-н Великобагачанський;"N 49°28'57""";"E 33°47'2"""
П-3398;Міський сад;Miskyi sad;комплексна пам'ятка природи;місцевого значення;Полтавська обл.;Кременчуцька міськрада;"N 49°4'41""";"E 33°25'22"""
П-3401;Лісові озера;Lisovi ozera;заказник ландшафтний;місцевого значення;Полтавська обл.;Комсомольська міськрада;"N 49°1'30""";"E 33°35'34"""
П-3571;Вільшане;Vilshane;заповідне урочище;місцевого значення;Полтавська обл.;р-н Полтавський;"N 49°28'41""";"E 34°29'28"""
П-3632;Бульвар Котляревського;Bulvar Kotliarevskoho;ботанічна пам'ятка природи;місцевого значення;Полтавська обл.;Полтавська міськрада;"N 49°38'48""";"E 34°32'5"""
П-3704;Парк Перемоги;Park Peremohy;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Полтавська обл.;Полтавська міськрада;"N 49°36'14""";"E 34°30'58"""
П-3837;Скеля-гранітний реєстр;Skelia-hranitnyi reiestr;геологічна пам'ятка природи;місцевого значення;Полтавська обл.;Кременчуцька міськрада;"N 49°4'37""";"E 33°23'52"""
П-3869;Заплава Псла;Zaplava Psla;заказник ландшафтний;місцевого значення;Полтавська обл.;Комсомольська міськрада;"N 49°5'56""";"E 33°35'29"""
П-3917;Придніпровський;Prydniprovskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Полтавська обл.;Кременчуцька міськрада;"N 49°3'38""";"E 33°24'16"""
П-407;Червонобережжя;Chervonoberezhzhia;заказник ландшафтний;загальнодержавного значення;Полтавська обл.;р-н Лубенський;"N 50°9'59""";"E 32°47'24"""
П-418;Диканський;Dykanskyi;регіональний ландшафтний парк;місцевого значення;Полтавська обл.;р-н Диканський;"N 49°50'28""";"E 34°34'18"""
П-4210;Жовтнева дача;Zhovtneva dacha;ботанічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Лубенський;"N 49°59'5""";"E 33°0'54"""
П-423;Кременчуцькі плавні;Kremenchutski plavni;регіональний ландшафтний парк;місцевого значення;Полтавська обл.;р-н Кременчуцький;"N 49°2'41""";"E 33°24'44"""
П-4252;Морозівська дача;Morozivska dacha;ботанічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Лубенський;"N 50°3'13""";"E 32°59'22"""
