Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1519;Урочище Чаща;Urochyshche Chashcha;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°30'31""";"E 33°2'43"""
П-152;Урочище Гуліне;Urochyshche Huline;комплексна пам'ятка природи;загальнодержавного значення;Чернігівська обл.;р-н Корюківський;"N 51°55'13""";"E 32°12'33"""
П-1525;Дуб косачівський;Dub kosachivskyi;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Козелецький;"N 51°3'55""";"E 30°38'38"""
П-1526;Дуб невклянський;Dub nevklianskyi;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Городнянський;"N 51°50'5""";"E 31°19'17"""
П-1527;Дуб невклянськитй;Dub nevklianskyti;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Городнянський;"N 51°48'26""";"E 31°22'21"""
П-1533;Стольненські клени-явори;Stolnenski kleny-yavory;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°31'26""";"E 31°53'52"""
П-1535;Сушнянський дуб;Sushnianskyi dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 52°1'24""";"E 31°9'58"""
П-1536;"Татарська гірка (Анисівська
дача)";Tatarska hirka (anysivska dacha);ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°16'44""";"E 31°2'20"""
П-1552;Хомутівщина;Khomutivshchyna;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Семенівський;"N 52°8'36""";"E 32°49'7"""
П-1556;Черемошне;Cheremoshne;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Городнянський;"N 51°54'56""";"E 31°32'33"""
П-1559;Шестовицький;Shestovytskyi;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Чернігівський;"N 51°22'18""";"E 31°11'36"""
П-1564;Дуби скитокські;Duby skytokski;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 52°4'12""";"E 30°57'21"""
П-1570;Тополя біла;Topolia bila;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Носівський;"N 50°40'42""";"E 31°48'56"""
П-1571;Узруївський ліс;Uzruivskyi lis;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Новгород-Сіверський;"N 52°6'40""";"E 33°0'29"""
П-1572;Унікальне дерево-екзот;Unikalne derevo-ekzot;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Срібнянський;"N 50°42'4""";"E 32°46'14"""
П-1573;Урочище Єсинське;Urochyshche Yesynske;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°36'53""";"E 30°38'38"""
П-1589;"Іржавецькі багаторічні
меморіальні насадження";"Irzhavetski bahatorichni
memorialni nasadzhennia";ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ічнянський;"N 50°52'24""";"E 32°34'2"""
П-159;Болото Мох;Boloto Mokh;заказник гідрологічний;загальнодержавного значення;Чернігівська обл.;р-н Сновський;"N 51°59'50""";"E 31°55'45"""
П-1607;Урочище Бурімка;Urochyshche Burimka;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°28'11""";"E 32°27'0"""
П-1621;Волик;Volyk;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Ічнянський;"N 50°47'29""";"E 32°17'35"""
П-1627;Багатовіковий дуб;Bahatovikovyi dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ічнянський;"N 50°50'7""";"E 32°20'51"""
П-1628;Багатовіковий дуб;Bahatovikovyi dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Носівський;"N 50°44'48""";"E 31°47'46"""
П-1629;Багатовіковий дуб;Bahatovikovyi dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°40'31""";"E 32°51'45"""
П-1630;Багатовіковий дуб;Bahatovikovyi dub;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°33'28""";"E 32°13'18"""
П-1631;Багатовіковий дуб Велетень;Bahatovikovyi dub Veleten;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Прилуцький;"N 50°28'2""";"E 32°23'9"""
П-1641;Козарська дача;Kozarska dacha;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Носівський;"N 50°56'15""";"E 31°22'7"""
П-1643;Урочище Лобанівщина;Urochyshche Lobanivshchyna;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°32'11""";"E 32°42'16"""
П-1644;Урочище Лош;Urochyshche Losh;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°25'23""";"E 32°12'9"""
