Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-3053;Богданівська балка;Bohdanivska balka;заказник ботанічний;загальнодержавного значення;Кіровоградська обл.;р-н Бобринецький;"N 48°7'46""";"E 32°6'4"""
П-3054;Боковеньківська балка;Bokovenkivska balka;заказник ботанічний;загальнодержавного значення;Кіровоградська обл.;р-н Долинський;"N 48°14'28""";"E 32°52'31"""
П-3078;Новомогильне;Novomohylne;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Петрівський;"N 48°30'6""";"E 33°18'42"""
П-3087;Бузове;Buzove;заказник ботанічний;загальнодержавного значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°53'31""";"E 33°31'51"""
П-3088;Власівська балка;Vlasivska balka;заказник ботанічний;загальнодержавного значення;Кіровоградська обл.;р-н Петрівський;"N 48°17'35""";"E 33°14'58"""
П-3111;Довге;Dovhe;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°51'27""";"E 33°47'23"""
П-3116;Олександрівська дача;Oleksandrivska dacha;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°7'41""";"E 32°50'54"""
П-3117;Осичківське;Osychkivske;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Вільшанський;"N 48°16'28""";"E 30°52'35"""
П-3133;Цюпина балка;Tsiupyna balka;заказник ботанічний;загальнодержавного значення;Кіровоградська обл.;р-н Світловодський;"N 49°1'29""";"E 32°58'14"""
П-3134;Шурхи;Shurkhy;заказник ботанічний;загальнодержавного значення;Кіровоградська обл.;р-н Новгородківський;"N 48°17'33""";"E 32°29'28"""
П-3135;Велика стінка;Velyka stinka;заказник лісовий;загальнодержавного значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°49'35""";"E 33°30'1"""
П-3163;Питомник;Pytomnyk;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Петрівський;"N 48°15'54""";"E 33°18'37"""
П-3169;Бандурівські ставки;Bandurivski stavky;заказник орнітологічний;загальнодержавного значення;Кіровоградська обл.;р-н Гайворонський;"N 48°13'51""";"E 29°47'48"""
П-3172;Велика Вись;Velyka Vys;заказник гідрологічний;загальнодержавного значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°49'11""";"E 31°36'8"""
П-3196;Житлове;Zhytlove;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°46'16""";"E 33°25'12"""
П-3206;Пушкове;Pushkove;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Голованівський;"N 48°14'49""";"E 30°36'24"""
П-3216;Войнівський;Voinivskyi;заказник ландшафтний;загальнодержавного значення;Кіровоградська обл.;р-н Новоукраїнський;"N 48°21'34""";"E 31°30'23"""
П-3251;Когутівка;Kohutivka;заказник ландшафтний;загальнодержавного значення;Кіровоградська обл.;р-н Новоархангельський;"N 48°29'14""";"E 30°43'36"""
П-3260;Миколаївський;Mykolaivskyi;заказник ландшафтний;загальнодержавного значення;Кіровоградська обл.;р-н Олександрівський;"N 48°47'54""";"E 32°9'2"""
П-3301;Чорноліський;Chornoliskyi;заказник ландшафтний;загальнодержавного значення;Кіровоградська обл.;р-н Знам'янський;"N 48°46'29""";"E 32°34'59"""
П-3348;Ковилові горби;Kovylovi horby;ботанічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Знам'янський;"N 48°55'5""";"E 32°41'37"""
П-3416;Болото Чорний ліс;Boloto Chornyi lis;гідрологічна пам'ятка природи;загальнодержавного значення;Кіровоградська обл.;р-н Знам'янський;"N 48°45'27""";"E 32°36'19"""
