Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-3096;"Цілинна ділянка вздовж
залізниці";"Tsilynna dilianka vzdovzh
zaliznytsi";ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Мелітопольський;"N 47°4'18""";"E 35°24'30"""
П-3099;Балка Білоглинка;Balka Bilohlynka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Оріхівський;"N 47°31'11""";"E 35°47'24"""
П-3100;Балка Безводна;Balka Bezvodna;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Більмацький;"N 47°12'55""";"E 36°48'26"""
П-311;Круглик;Kruhlyk;комплексна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Вільнянський;"N 48°0'55""";"E 35°9'25"""
П-312;Ланцевська кам'яна могила;Lantsevska kamiana mohyla;комплексна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Більмацький;"N 47°12'47""";"E 36°46'54"""
П-32;Великий Луг;Velykyi Luh;національний природний парк;загальнодержавного значення;Запорізька обл.;р-н Василівський;"N 47°29'24""";"E 35°6'46"""
П-322;Балка Кринична;Balka Krynychna;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Вільнянський;"N 47°55'34""";"E 35°9'36"""
П-324;Висока скеля над р.Берда;Vysoka skelia nad r.berda;геологічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Бердянський;"N 47°2'35""";"E 36°54'14"""
П-3256;Коса Федотова;Kosa Fedotova;заказник ландшафтний;загальнодержавного значення;Запорізька обл.;р-н Якимівський;"N 46°16'28""";"E 35°17'5"""
П-3257;"Крутосхили Каховського
водосховища";"Krutoskhyly Kakhovskoho
vodoskhovyshcha";заказник ландшафтний;загальнодержавного значення;Запорізька обл.;р-н Василівський;"N 47°26'33""";"E 35°9'59"""
П-3264;Цілинна балка з ділянкою лісу;Tsilynna balka z diliankoiu lisu;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Токмацький;"N 47°20'28""";"E 35°58'38"""
П-3265;Цілинна ділянка;Tsilynna dilianka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Гуляйпільський;"N 47°40'46""";"E 36°10'59"""
П-3268;Цілинна ділянка;Tsilynna dilianka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Приморський;"N 46°59'32""";"E 36°24'52"""
П-3269;Цілинна ділянка;Tsilynna dilianka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Мелітопольський;"N 46°46'12""";"E 35°22'9"""
П-3270;Цілинна ділянка;Tsilynna dilianka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Василівський;"N 47°34'54""";"E 35°20'15"""
П-3271;Корсак-могила;Korsak-mohyla;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Приморський;"N 46°53'56""";"E 36°8'14"""
П-3278;Степногірський;Stepnohirskyi;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Василівський;"N 47°35'40""";"E 35°23'49"""
П-3280;Томаківський;Tomakivskyi;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Запорізький;"N 47°52'48""";"E 34°50'18"""
