Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-12061;Смерч;Smerch;урочище;Волинська обл.;р-н Любешівський;"N 51° 47’ 10""";"E 25° 18’ 10"""
Ф-12065;Кругла;Kruhla;урочище;Волинська обл.;р-н Любешівський;"N 51° 45’ 58""";"E 25° 25’ 21"""
Ф-12069;Дуб'я;Dubia;урочище;Волинська обл.;р-н Камінь-Каширський;"N 51° 45’ 25""";"E 25° 4’ 43"""
Ф-12072;Полемина;Polemyna;урочище;Волинська обл.;р-н Камінь-Каширський;"N 51° 45’ 38""";"E 25° 2’ 12"""
Ф-12077;Кобильник;Kobylnyk;урочище;Волинська обл.;р-н Камінь-Каширський;"N 51° 44’ 28""";"E 25° 3’ 5"""
Ф-12078;Глядиння;Hliadynnia;урочище;Волинська обл.;р-н Любешівський;"N 51° 44’ 41""";"E 25° 25’ 20"""
Ф-12094;Навалки;Navalky;урочище;Волинська обл.;р-н Любешівський;"N 51° 43’ 51""";"E 25° 19’ 50"""
Ф-12099;Заутриння;Zautrynnia;урочище;Волинська обл.;"р-н Камінь-Каширський, р-н
Любешівський";"N 51° 43’ 29""";"E 25° 13’ 31"""
Ф-12104;Ліс Черечка;Lis Cherechka;урочище;Волинська обл.;"р-н Камінь-Каширський, р-н
Любешівський";"N 51° 44’ 5""";"E 25° 6’ 22"""
Ф-12107;Пачище;Pachyshche;урочище;Волинська обл.;р-н Камінь-Каширський;"N 51° 42’ 31""";"E 25° 8’ 7"""
Ф-12113;Заболоття;Zabolottia;урочище;Волинська обл.;р-н Камінь-Каширський;"N 51° 42’ 7""";"E 25° 11’ 56"""
Ф-12118;Нахом;Nakhom;урочище;Волинська обл.;р-н Камінь-Каширський;"N 51° 42’ 31""";"E 25° 16’ 0"""
Ф-12124;Замок;Zamok;урочище;Волинська обл.;р-н Любешівський;"N 51° 43’ 9""";"E 25° 23’ 58"""
Ф-12127;Личин;Lychyn;урочище;Волинська обл.;р-н Любешівський;"N 51° 41’ 39""";"E 25° 20’ 53"""
Ф-12130;Сирохове;Syrokhove;урочище;Волинська обл.;р-н Камінь-Каширський;"N 51° 40’ 51""";"E 25° 2’ 40"""
Ф-12142;Куликівщина;Kulykivshchyna;урочище;Волинська обл.;р-н Камінь-Каширський;"N 51° 40’ 27""";"E 25° 16’ 20"""
Ф-12143;Любич;Liubych;урочище;Волинська обл.;р-н Камінь-Каширський;"N 51° 40’ 55""";"E 25° 8’ 14"""
Ф-12145;Городище;Horodyshche;урочище;Волинська обл.;р-н Любешівський;"N 51° 54’ 35""";"E 25° 32’ 15"""
Ф-12146;Зарів'я;Zarivia;урочище;Волинська обл.;р-н Любешівський;"N 51° 54’ 42""";"E 25° 35’ 50"""
Ф-12149;Тритижа;Trytyzha;урочище;Волинська обл.;р-н Любешівський;"N 51° 53’ 23""";"E 25° 39’ 0"""
Ф-12150;Підсіка;Pidsika;урочище;Волинська обл.;р-н Любешівський;"N 51° 52’ 41""";"E 25° 35’ 29"""
Ф-12256;Ведмеже;Vedmezhe;урочище;Волинська обл.;р-н Любешівський;"N 51° 53’ 49""";"E 25° 35’ 41"""
Ф-12259;Залиска;Zalyska;урочище;Волинська обл.;р-н Любешівський;"N 51° 52’ 43""";"E 25° 39’ 6"""
Ф-12264;Муравина;Muravyna;урочище;Волинська обл.;р-н Любешівський;"N 51° 51’ 45""";"E 25° 33’ 34"""
Ф-12266;Вербина;Verbyna;урочище;Волинська обл.;р-н Любешівський;"N 51° 50’ 53""";"E 25° 35’ 19"""
