Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-45626;Кифалина;Kyfalyna;річка, що пересихає;Кіровоградська обл.;р-н Долинський;"N 48° 7’ 24""";"E 32° 54’ 45"""
Ф-45627;Лани;Lany;джерело;Кіровоградська обл.;р-н Петрівський;"N 48° 23’ 22""";"E 33° 25’ 28"""
Ф-45628;Тернувата;Ternuvata;річка, що пересихає;Кіровоградська обл.;р-н Петрівський;"N 48° 23’ 24""";"E 33° 24’ 54"""
Ф-45629;Секлетинівка;Sekletynivka;річка, що пересихає;Кіровоградська обл.;р-н Петрівський;"N 48° 22’ 26""";"E 33° 24’ 24"""
Ф-45630;Попова;Popova;річка, що пересихає;Кіровоградська обл.;р-н Петрівський;"N 48° 21’ 15""";"E 33° 24’ 13"""
Ф-45631;Кам'янувата Нижня;Kamianuvata Nyzhnia;річка, що пересихає;Кіровоградська обл.;р-н Петрівський;"N 48° 19’ 29""";"E 33° 23’ 59"""
Ф-45632;Осикувата;Osykuvata;річка, що пересихає;Кіровоградська обл.;р-н Петрівський;"N 48° 18’ 4""";"E 33° 23’ 4"""
Ф-45633;Зелена;Zelena;річка;Кіровоградська обл.;р-н Петрівський;"N 48° 15’ 55""";"E 33° 20’ 13"""
Ф-45634;Сиряна;Syriana;річка;Кіровоградська обл.;р-н Петрівський;"N 48° 21’ 21""";"E 33° 14’ 25"""
Ф-45635;Березнигова;Bereznyhova;річка, що пересихає;Кіровоградська обл.;р-н Петрівський;"N 48° 20’ 13""";"E 33° 15’ 39"""
Ф-45636;Крутенька;Krutenka;річка;Кіровоградська обл.;р-н Петрівський;"N 48° 17’ 2""";"E 33° 19’ 45"""
Ф-45637;Лелечика;Lelechyka;річка, що пересихає;Кіровоградська обл.;р-н Петрівський;"N 48° 13’ 36""";"E 33° 20’ 10"""
Ф-45638;Сугоклія- Березнувата;Suhokliia-Bereznuvata;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 18’ 31""";"E 31° 59’ 44"""
Ф-45639;Кулики;Kulyky;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 17’ 51""";"E 31° 57’ 59"""
Ф-45640;Крива;Kryva;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 17’ 41""";"E 31° 57’ 44"""
Ф-45641;Яр Сухий;Yar Sukhyi;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 18’ 16""";"E 31° 59’ 56"""
Ф-45642;Вербова Криничка;Verbova Krynychka;джерело;Кіровоградська обл.;р-н Компаніївський;"N 48° 16’ 49""";"E 32° 0’ 12"""
Ф-45643;Кам'яна Криничка;Kamiana Krynychka;джерело;Кіровоградська обл.;р-н Компаніївський;"N 48° 16’ 46""";"E 32° 0’ 36"""
Ф-45644;Глиняна;Hlyniana;річка, що пересихає;Кіровоградська обл.;р-н Компаніївський;"N 48° 17’ 50""";"E 32° 10’ 7"""
Ф-45645;Криничевата;Krynychevata;річка, що пересихає;Кіровоградська обл.;р-н Компаніївський;"N 48° 16’ 2""";"E 32° 11’ 38"""
Ф-45646;Ватульова;Vatulova;річка;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 12’ 52""";"E 31° 50’ 0"""
Ф-45647;Громуха;Hromukha;річка;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 12’ 26""";"E 31° 51’ 27"""
