Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-34747;Угорське;Uhorske;хребет;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 48""";"E 23° 54’ 21"""
Ф-7911;Перехрестя;Perekhrestia;гора;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 49""";"E 23° 40’ 10"""
Ф-2818;Каллів;Kalliv;потік;Закарпатська обл.;;"N 48° 16’ 5""";"E 23° 24’ 25"""
Ф-38408;Перехрестя;Perekhrestia;гора;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 50""";"E 23° 40’ 1"""
Ф-1582;Бистра;Bystra;річка;Закарпатська обл.;;"N 48° 16’ 50""";"E 23° 4’ 0"""
Ф-7906;Товстий Грунь;Tovstyi Hrun;гора;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 51""";"E 23° 37’ 40"""
Ф-33872;Апшинець;Apshynets;озеро;Закарпатська обл.;;"N 48° 16’ 51""";"E 24° 9’ 25"""
Ф-4302;Бедевляска;Bedevliaska;хребет;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 52""";"E 24° 2’ 57"""
Ф-11805;Сарваш;Sarvach;урочище;Закарпатська обл.;р-н Іршавський;"N 48° 16’ 55""";"E 22° 51’ 40"""
Ф-30766;Сур'юк;Suriuk;гора;Закарпатська обл.;р-н Хустський;"N 48° 16’ 58""";"E 23° 30’ 21"""
Ф-15400;Сур'юк;Suriuk;гора;Закарпатська обл.;Хустський р-н;"N 48° 16’ 58""";"E 23° 30’ 21"""
Ф-20093;Діл;Dil;урочище;Закарпатська обл.;р-н Хустський;"N 48° 16’ 59""";"E 23° 28’ 54"""
Ф-15395;Копанець;Kopanets;гора;Закарпатська обл.;Тячівський р-н;"N 48° 16’ 59""";"E 23° 42’ 38"""
Ф-34968;Нодь-Ердий;Nod-Erdyi;урочище;Закарпатська обл.;р-н Берегівський;"N 48° 17’ 1""";"E 22° 35’ 42"""
