Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-1854;Данилівка;Danylivka;річка;Хмельницька обл.;;"N 48° 37’ 28""";"E 27° 14’ 27"""
Ф-1855;Жарнівка;Zharnivka;річка;Хмельницька обл.;;"N 48° 36’ 43""";"E 27° 14’ 11"""
Ф-1856;Летавка;Letavka;річка;Хмельницька обл.;;"N 48° 53’ 30""";"E 26° 22’ 55"""
Ф-1857;Рудка;Rudka;річка;Хмельницька обл.;;"N 48° 54’ 54""";"E 26° 22’ 48"""
Ф-1868;Жванчик;Zhvanchyk;річка;Хмельницька обл.;;"N 48° 36’ 32""";"E 27° 6’ 10"""
Ф-1876;Ушка;Ushka;річка;Хмельницька обл.;;"N 48° 54’ 23""";"E 27° 5’ 52"""
Ф-1881;Кармелітанка;Karmelitanka;річка;Хмельницька обл.;;"N 48° 33’ 10""";"E 26° 29’ 15"""
Ф-18863;Велика Кандалиха;Velyka Kandalykha;урочище;Хмельницька обл.;р-н Чемеровецький;"N 48° 59’ 41""";"E 26° 29’ 24"""
Ф-18893;Вишневе;Vyshneve;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 26’ 56""";"E 27° 33’ 34"""
Ф-18904;Войкове;Voikove;урочище;Хмельницька обл.;р-н Теофіпольський;"N 49° 40’ 49""";"E 26° 21’ 2"""
Ф-19144;Верхня Грота;Verkhnia Hrota;печера;Хмельницька обл.;р-н Кам'янець-Подільський;"N 48° 39’ 56""";"E 27° 4’ 41"""
Ф-19262;Гаї;Hai;урочище;Хмельницька обл.;р-н Полонський;"N 50° 4’ 23""";"E 27° 21’ 55"""
Ф-19266;Брожарка;Brozharka;урочище;Хмельницька обл.;р-н Полонський;"N 50° 1’ 51""";"E 27° 18’ 21"""
Ф-19330;Великий Ліс;Velykyi Lis;урочище;Хмельницька обл.;р-н Новоушицький;"N 48° 46’ 40""";"E 27° 20’ 24"""
Ф-19620;Ємецький Ліс;Yemetskyi Lis;урочище;Хмельницька обл.;р-н Старосинявський;"N 49° 40’ 6""";"E 27° 27’ 49"""
Ф-19683;Довжок;Dovzhok;урочище;Хмельницька обл.;р-н Новоушицький;"N 48° 49’ 38""";"E 27° 19’ 10"""
Ф-19684;Довжок;Dovzhok;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 27’ 40""";"E 27° 19’ 29"""
Ф-19785;Дідикове;Didykove;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 9’ 37""";"E 26° 14’ 29"""
Ф-19856;Драчьова;Drachova;урочище;Хмельницька обл.;р-н Полонський;"N 50° 1’ 47""";"E 27° 25’ 25"""
Ф-199;Корчик;Korchyk;річка;"Хмельницька обл., Житомирська обл.,
Рівненська обл.";;"N 50° 47’ 52""";"E 27° 12’ 45"""
Ф-20080;Зади;Zady;урочище;Хмельницька обл.;р-н Чемеровецький;"N 49° 2’ 57""";"E 26° 24’ 59"""
Ф-20086;Дідовець;Didovets;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 35’ 22""";"E 27° 16’ 43"""
Ф-20184;Зелений Гай;Zelenyi Hai;урочище;Хмельницька обл.;р-н Красилівський;"N 49° 43’ 19""";"E 26° 49’ 27"""
Ф-20208;Камлай;Kamlai;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 17’ 22""";"E 26° 32’ 34"""
Ф-20251;Жанича;Zhanycha;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 19’ 0""";"E 27° 20’ 53"""
Ф-20288;Забіляни;Zabiliany;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 13’ 22""";"E 26° 21’ 32"""
Ф-203;Хомора;Khomora;річка;Хмельницька обл., Житомирська обл.;;"N 50° 13’ 32""";"E 27° 39’ 12"""
Ф-20311;Діброва;Dibrova;урочище;Хмельницька обл.;р-н Полонський;"N 49° 55’ 52""";"E 27° 18’ 33"""
