Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-33154	Широка	Shyroka	балка	Миколаївська обл.	р-н Березнегуватський	"N 47° 26’ 17"""	"E 32° 48’ 45"""
Ф-33158	Широка	Shyroka	балка	Миколаївська обл.	р-н Баштанський	"N 47° 10’ 55"""	"E 32° 11’ 37"""
Ф-33168	Ягодзинська	Yahodzynska	балка	Миколаївська обл.	р-н Арбузинський	"N 47° 58’ 24"""	"E 31° 6’ 21"""
Ф-33207	Білозерська	Bilozerska	балка	Миколаївська обл.	р-н Вітовський	"N 47° 3’ 8"""	"E 32° 26’ 54"""
Ф-33264	Шишева	Shysheva	балка	Миколаївська обл.	р-н Новоодеський	"N 47° 9’ 26"""	"E 31° 52’ 28"""
Ф-33265	Шишева	Shysheva	балка	Миколаївська обл.	р-н Новоодеський	"N 47° 10’ 26"""	"E 31° 53’ 30"""
Ф-33331	Хлібна Круча	Khlibna Krucha	балка	Миколаївська обл.	р-н Доманівський	"N 47° 24’ 50"""	"E 30° 57’ 44"""
Ф-33364	Шевцова	Shevtsova	балка	Миколаївська обл.	р-н Казанківський	"N 47° 42’ 25"""	"E 32° 52’ 33"""
Ф-33366	Шевцова	Shevtsova	балка	Миколаївська обл.	р-н Первомайський	"N 47° 55’ 4"""	"E 31° 3’ 7"""
Ф-33367	Шевченка	Shevchenka	урочище	Миколаївська обл.	р-н Баштанський	"N 47° 14’ 3"""	"E 32° 23’ 11"""
Ф-33413	Чабанка	Chabanka	балка	Миколаївська обл.	р-н Братський	"N 47° 53’ 37"""	"E 31° 28’ 57"""
Ф-33414	Чабанка	Chabanka	урочище	Миколаївська обл.	р-н Казанківський	"N 47° 46’ 33"""	"E 32° 45’ 13"""
Ф-33484	Чабанюки	Chabaniuky	урочище	Миколаївська обл.	р-н Доманівський	"N 47° 49’ 9"""	"E 30° 54’ 36"""
Ф-33573	Тимофіївка	Tymofiivka	урочище	Миколаївська обл.	р-н Казанківський	"N 47° 49’ 40"""	"E 32° 42’ 27"""
Ф-33629	Женевська	Zhenevska	балка	Миколаївська обл.	р-н Новоодеський	"N 47° 21’ 57"""	"E 31° 48’ 15"""
Ф-33790	Широка Могила	Shyroka Mohyla	курган	Миколаївська обл.	р-н Березнегуватський	"N 47° 9’ 50"""	"E 32° 50’ 18"""
