Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-5453;Ковальова Балка;Kovaliova Balka;урочище;Черкаська обл.;р-н Чигиринський;"N 49° 14’ 0""";"E 32° 27’ 8"""
Ф-5445;Воронине;Voronyne;урочище;Черкаська обл.;р-н Смілянський;"N 49° 14’ 14""";"E 32° 4’ 50"""
Ф-30248;Чагари;Chahary;урочище;Черкаська обл.;р-н Лисянський;"N 49° 14’ 16""";"E 30° 39’ 35"""
Ф-31182;Розкопна Могила;Rozkopna Mohyla;курган;Черкаська обл.;р-н Чигиринський;"N 49° 14’ 20""";"E 32° 28’ 21"""
Ф-20023;Катерушине;Katerushyne;урочище;Черкаська обл.;р-н Городищенський;"N 49° 14’ 29""";"E 31° 24’ 31"""
Ф-19589;Ковалів Яр;Kovaliv Yar;балка;Черкаська обл.;р-н Городищенський;"N 49° 14’ 37""";"E 31° 12’ 45"""
Ф-16404;Березіна;Berezina;балка;Черкаська обл.;р-н Звенигородський;"N 49° 14’ 38""";"E 31° 6’ 20"""
Ф-30443;Судівський;Sudivskyi;яр;Черкаська обл.;р-н Городищенський;"N 49° 14’ 40""";"E 31° 37’ 58"""
Ф-927;Гончариха;Honcharykha;річка;Черкаська обл.;;"N 49° 14’ 40""";"E 30° 43’ 55"""
Ф-38051;Северинів;Severyniv;ліс;Черкаська обл.;р-н Лисянський;"N 49° 14’ 47""";"E 30° 40’ 58"""
Ф-39315;Попова;Popova;ліс;Черкаська обл.;р-н Смілянський;"N 49° 14’ 54""";"E 31° 44’ 24"""
Ф-2639;Ірдинь;Irdyn;річка;Черкаська обл.;;"N 49° 15’ 20""";"E 31° 53’ 45"""
Ф-13764;Сірий Острів;Siryi Ostriv;балка;Черкаська обл.;р-н Городищенський;"N 49° 15’ 32""";"E 31° 36’ 18"""
Ф-5428;Панасове;Panasove;урочище;Черкаська обл.;р-н Смілянський;"N 49° 15’ 32""";"E 32° 0’ 30"""
Ф-5434;Бір;Bir;урочище;Черкаська обл.;р-н Черкаський;"N 49° 15’ 36""";"E 32° 15’ 28"""
Ф-28628;Новосілки;Novosilky;балка;Черкаська обл.;р-н Лисянський;"N 49° 15’ 38""";"E 30° 32’ 6"""
Ф-29658;Цибіна;Tsybina;балка;Черкаська обл.;р-н Лисянський;"N 49° 15’ 5""";"E 30° 36’ 51"""
