Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-12625;Стецюрине;Stetsiuryne;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 47’ 40""";"E 33° 48’ 10"""
Ф-12627;Залив;Zalyv;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 47’ 40""";"E 33° 58’ 0"""
Ф-12629;Чаплан;Chaplan;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 47’ 3""";"E 33° 50’ 10"""
Ф-12632;Микиші;Mykyshi;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 46’ 50""";"E 33° 55’ 30"""
Ф-12634;Калинів Яр;Kalyniv Yar;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 46’ 25""";"E 33° 46’ 50"""
Ф-12637;Макітра;Makitra;урочище;Сумська обл.;р-н Роменський;"N 50° 45’ 20""";"E 33° 36’ 40"""
Ф-12640;Байраки;Bairaky;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 44’ 36""";"E 33° 45’ 50"""
Ф-12641;Якове Болото;Yakove Boloto;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 45’ 4""";"E 33° 50’ 30"""
Ф-12643;Глибокий Яр;Hlybokyi Yar;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 43’ 28""";"E 33° 48’ 40"""
Ф-12669;Патешине;Pateshyne;урочище;Сумська обл.;р-н Роменський;"N 50° 44’ 35""";"E 33° 35’ 0"""
Ф-12670;Гавришеве;Havrysheve;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 44’ 5""";"E 33° 50’ 49"""
Ф-12671;Дакалове;Dakalove;урочище;Сумська обл.;р-н Липоводолинський;"N 50° 42’ 40""";"E 33° 55’ 10"""
Ф-12672;Грабарське;Hrabarske;урочище;Сумська обл.;р-н Липоводолинський;"N 50° 42’ 50""";"E 33° 58’ 50"""
Ф-12674;Чередниківщина;Cherednykivshchyna;урочище;Сумська обл.;р-н Роменський;"N 50° 40’ 51""";"E 33° 34’ 10"""
Ф-12677;Стовпівщина;Stovpivshchyna;урочище;Сумська обл.;р-н Роменський;"N 50° 41’ 25""";"E 33° 36’ 50"""
Ф-12685;Ірвине;Irvyne;урочище;Сумська обл.;"р-н Липоводолинський, р-н
Роменський";"N 50° 40’ 25""";"E 33° 45’ 40"""
Ф-12686;Чайкине;Chaikyne;урочище;Сумська обл.;р-н Липоводолинський;"N 50° 40’ 45""";"E 33° 56’ 20"""
Ф-12689;Кам'яний;Kamianyi;урочище;Сумська обл.;р-н Білопільський;"N 50° 59’ 30""";"E 34° 13’ 30"""
Ф-12703;Ставище;Stavyshche;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 58’ 0""";"E 34° 2’ 18"""
Ф-12704;Новозинів;Novozyniv;урочище;Сумська обл.;р-н Білопільський;"N 50° 58’ 20""";"E 34° 6’ 52"""
Ф-12706;Грузинське;Hruzynske;урочище;Сумська обл.;р-н Білопільський;"N 50° 55’ 8""";"E 34° 13’ 30"""
Ф-12707;Губсько-Будянське;Hubsko-Budianske;урочище;Сумська обл.;р-н Білопільський;"N 50° 54’ 28""";"E 34° 15’ 40"""
Ф-12708;Золота Криниця;Zolota Krynytsia;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 53’ 16""";"E 34° 1’ 0"""
Ф-12709;Попів Ліс;Popiv Lis;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 53’ 55""";"E 34° 4’ 38"""
Ф-12710;Калуга;Kaluha;урочище;Сумська обл.;р-н Білопільський;"N 50° 53’ 28""";"E 34° 15’ 10"""
Ф-12711;Озеро Мохове;Ozero Mokhove;урочище;Сумська обл.;р-н Білопільський;"N 50° 53’ 41""";"E 34° 21’ 50"""
Ф-12713;Зелена Роща;Zelena Roshcha;урочище;Сумська обл.;р-н Білопільський;"N 50° 52’ 28""";"E 34° 11’ 40"""
Ф-12714;Велика Дубина;Velyka Dubyna;урочище;Сумська обл.;р-н Білопільський, р-н Лебединський;"N 50° 50’ 17""";"E 34° 19’ 41"""
Ф-12715;Жовтоніжки;Zhovtonizhky;урочище;Сумська обл.;"р-н Недригайлівський, р-н
Лебединський";"N 50° 48’ 0""";"E 34° 9’ 20"""
Ф-12716;Покутне;Pokutne;урочище;Сумська обл.;р-н Лебединський;"N 50° 46’ 30""";"E 34° 29’ 20"""
Ф-12717;Руське;Ruske;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 44’ 10""";"E 34° 8’ 10"""
Ф-12719;Хорол;Horol;урочище;Сумська обл.;р-н Лебединський;"N 50° 43’ 8""";"E 34° 6’ 51"""
Ф-12720;Корінне;Korinne;урочище;Сумська обл.;р-н Лебединський;"N 50° 43’ 0""";"E 34° 12’ 50"""
Ф-12721;Кам'яне;Kamiane;урочище;Сумська обл.;р-н Лебединський;"N 50° 42’ 10""";"E 34° 17’ 40"""
Ф-12724;Казенне;Kazenne;урочище;Сумська обл.;р-н Сумський;"N 50° 54’ 50""";"E 34° 57’ 0"""
Ф-12725;Винарівщина;Vynarivshchyna;урочище;Сумська обл.;р-н Сумський;"N 50° 52’ 36""";"E 34° 55’ 30"""
Ф-12735;Куп'єваха;Kupievakha;урочище;Сумська обл.;р-н Сумський;"N 50° 44’ 32""";"E 34° 42’ 40"""
Ф-12738;Курсова;Kursova;урочище;Сумська обл.;р-н Лебединський;"N 50° 43’ 20""";"E 34° 34’ 11"""
Ф-12739;Осняги;Osniahy;урочище;Сумська обл.;р-н Лебединський;"N 50° 42’ 30""";"E 34° 50’ 0"""
Ф-12789;Шевельвещина;Shevelveshchyna;урочище;Сумська обл.;р-н Лебединський;"N 50° 40’ 45""";"E 34° 49’ 30"""
Ф-12790;Лісове;Lisove;урочище;Сумська обл.;р-н Лебединський;"N 50° 41’ 0""";"E 34° 53’ 51"""
Ф-12791;Семівщина;Semivshchyna;урочище;Сумська обл.;р-н Тростянецький;"N 50° 40’ 50""";"E 34° 56’ 10"""
Ф-12794;Клинок;Klynok;урочище;Сумська обл.;р-н Краснопільський;"N 50° 59’ 20""";"E 35° 2’ 1"""
Ф-12795;Мельникове;Melnykove;урочище;Сумська обл.;р-н Краснопільський;"N 50° 56’ 45""";"E 35° 16’ 50"""
Ф-12805;Попів Яр;Popiv Yar;урочище;Сумська обл.;р-н Сумський;"N 50° 56’ 30""";"E 35° 1’ 20"""
Ф-12809;Малий Прикіл;Malyi Prykil;урочище;Сумська обл.;р-н Краснопільський;"N 50° 56’ 0""";"E 35° 18’ 20"""
Ф-12817;Старе Захар'ївське;Stare Zakharivske;урочище;Сумська обл.;р-н Краснопільський;"N 50° 52’ 52""";"E 35° 3’ 20"""
Ф-12829;Глиниця;Hlynytsia;урочище;Сумська обл.;р-н Краснопільський;"N 50° 53’ 8""";"E 35° 5’ 51"""
Ф-12833;Дідова Гора;Didova Hora;урочище;Сумська обл.;р-н Краснопільський;"N 50° 51’ 38""";"E 35° 7’ 0"""
Ф-12846;Пашечне;Pashechne;урочище;Сумська обл.;р-н Краснопільський;"N 50° 51’ 43""";"E 35° 21’ 50"""
Ф-12848;Заярівщина;Zaiarivshchyna;урочище;Сумська обл.;р-н Краснопільський;"N 50° 50’ 17""";"E 35° 14’ 30"""
Ф-12854;Яковенкове;Yakovenkove;урочище;Сумська обл.;р-н Краснопільський;"N 50° 49’ 30""";"E 35° 11’ 41"""
Ф-12857;Войків;Voikiv;урочище;Сумська обл.;р-н Краснопільський;"N 50° 48’ 18""";"E 35° 4’ 40"""
Ф-12859;Успенська Дача;Uspenska Dacha;урочище;Сумська обл.;р-н Краснопільський;"N 50° 49’ 11""";"E 35° 15’ 30"""
Ф-12861;Провалля;Provallia;урочище;Сумська обл.;р-н Краснопільський;"N 50° 48’ 20""";"E 35° 17’ 40"""
Ф-12906;Довжик;Dobzhyk;урочище;Сумська обл.;р-н Краснопільський;"N 50° 46’ 11""";"E 35° 5’ 8"""
Ф-12908;Образ;Obraz;урочище;Сумська обл.;р-н Краснопільський;"N 50° 46’ 0""";"E 35° 6’ 51"""
Ф-12910;Климівське;Klymivske;урочище;Сумська обл.;р-н Краснопільський;"N 50° 46’ 8""";"E 35° 20’ 30"""
Ф-12911;Просіки;Prosiky;урочище;Сумська обл.;р-н Краснопільський;"N 50° 43’ 20""";"E 35° 28’ 0"""
Ф-12914;Вингородське;Vynhorodske;урочище;Сумська обл.;р-н Краснопільський;"N 50° 42’ 30""";"E 35° 18’ 11"""
Ф-12917;Криве;Kryve;урочище;Сумська обл.;р-н Краснопільський;"N 50° 42’ 51""";"E 35° 21’ 10"""
Ф-12919;Лікарщина;Likarshchyna;урочище;Сумська обл.;"р-н Краснопільський, р-н
Тростянецький";"N 50° 42’ 10""";"E 35° 2’ 30"""
Ф-12926;Подільське;Podilske;урочище;Сумська обл.;р-н Краснопільський;"N 50° 41’ 50""";"E 35° 11’ 0"""
Ф-12928;Гречаний Ліс;Hrechanyi Lis;урочище;Сумська обл.;р-н Тростянецький;"N 50° 40’ 15""";"E 35° 3’ 51"""
Ф-12930;Васюкове;Vasiukove;урочище;Сумська обл.;р-н Краснопільський;"N 50° 40’ 30""";"E 35° 14’ 40"""
