Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-16280;Баштове;Bashtove;урочище;Харківська обл.;р-н Валківський;"N 49° 48’ 24""";"E 35° 37’ 19"""
Ф-16298;Безбородова;Bezborodova;балка;Харківська обл.;р-н Зміївський;"N 49° 28’ 50""";"E 36° 26’ 16"""
Ф-16304;Безводний Яр;Bezvodnyi Yar;урочище;Харківська обл.;р-н Великобурлуцький;"N 49° 53’ 46""";"E 37° 16’ 59"""
Ф-16317;Бердянка;Berdianka;балка;Харківська обл.;р-н Зачепилівський;"N 49° 6’ 15""";"E 35° 23’ 32"""
Ф-16323;Бережанова;Berezhanova;балка;Харківська обл.;р-н Первомайський;"N 49° 18’ 40""";"E 36° 19’ 40"""
Ф-16335;Баранове;Baranove;урочище;Харківська обл.;р-н Харківський;"N 49° 50’ 29""";"E 36° 7’ 44"""
Ф-16365;Барсукове 1-е;Barsukove 1-e;урочище;Харківська обл.;р-н Вовчанський;"N 50° 20’ 13""";"E 37° 29’ 30"""
Ф-16372;Басова;Basova;балка;Харківська обл.;р-н Вовчанський;"N 50° 8’ 21""";"E 37° 16’ 27"""
Ф-16403;Березівський;Berezivskyi;яр;Харківська обл.;р-н Чугуївський;"N 49° 44’ 28""";"E 36° 38’ 11"""
Ф-16447;Березова;Berezova;балка;Харківська обл.;р-н Валківський;"N 49° 58’ 51""";"E 35° 39’ 34"""
Ф-16452;Березове;Berezove;урочище;Харківська обл.;р-н Дворічанський;"N 49° 57’ 13""";"E 37° 37’ 34"""
Ф-16453;Березове;Berezove;урочище;Харківська обл.;р-н Вовчанський;"N 50° 4’ 12""";"E 36° 33’ 31"""
Ф-16458;Березовий;Berezovyi;яр;Харківська обл.;р-н Богодухівський;"N 50° 7’ 44""";"E 35° 36’ 28"""
Ф-16459;Березовий;Berezovyi;яр;Харківська обл.;р-н Балаклійський;"N 49° 28’ 30""";"E 36° 57’ 41"""
Ф-16465;Березовий Яр;Berezovyi Yar;балка;Харківська обл.;р-н Балаклійський;"N 49° 28’ 58""";"E 37° 0’ 37"""
Ф-16471;Березукова;Berezukova;урочище;Харківська обл.;р-н Вовчанський;"N 50° 18’ 45""";"E 36° 58’ 1"""
Ф-16488;Берестова;Berestova;урочище;Харківська обл.;р-н Первомайський;"N 49° 15’ 38""";"E 36° 27’ 56"""
Ф-16489;Берестова;Berestova;балка;Харківська обл.;р-н Близнюківський;"N 48° 48’ 15""";"E 36° 39’ 14"""
Ф-16490;Берестова;Berestova;балка;Харківська обл.;р-н Чугуївський;"N 49° 47’ 41""";"E 36° 59’ 31"""
