Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-40709;Сухий;Sukhyi;ліс;Луганська обл.;р-н Марківський;"N 49° 29’ 24""";"E 39° 44’ 36"""
Ф-9186;Журавка;Zhuravka;урочище;Луганська обл.;р-н Марківський;"N 49° 22’ 0""";"E 39° 44’ 50"""
Ф-22827;Кременна;Kremenna;балка;Луганська обл.;р-н Біловодський;"N 49° 19’ 51""";"E 39° 44’ 54"""
Ф-7128;Будакова;Budakova;балка;Луганська обл.;р-н Біловодський;"N 49° 15’ 23""";"E 39° 44’ 59"""
Ф-18600;Бургуста;Burhusta;балка;Луганська обл.;р-н Довжанський;"N 48° 3’ 47""";"E 39° 44’ 6"""
Ф-23996;Кисла;Kysla;балка;Луганська обл.;р-н Сорокинський;"N 48° 14’ 20""";"E 39° 44’ 8"""
Ф-16811;Біла;Bila;балка;Луганська обл.;р-н Сорокинський;"N 48° 26’ 7""";"E 39° 45’ 11"""
Ф-29937;Церковне;Tserkovne;урочище;Луганська обл.;р-н Марківський;"N 49° 32’ 56""";"E 39° 45’ 12"""
Ф-21900;Довгенька;Dovhenka;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 49’ 6""";"E 39° 45’ 14"""
Ф-19629;Єрки;Yerky;балка;Луганська обл.;р-н Довжанський;"N 47° 56’ 13""";"E 39° 45’ 17"""
Ф-27252;Поштарна;Poshtarna;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 47’ 18""";"E 39° 45’ 17"""
Ф-23668;Кринична;Krynychna;балка;Луганська обл.;р-н Довжанський;"N 47° 58’ 49""";"E 39° 45’ 24"""
Ф-27849;Підйомно-Голубівське;Pidiomno-Holubivske;урочище;Луганська обл.;р-н Станично-Луганський;"N 48° 50’ 48""";"E 39° 45’ 25"""
Ф-31565;Середній Яр;Serednii Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 4’ 42""";"E 39° 45’ 26"""
Ф-7793;Харсеннікова;Kharsennikova;балка;Луганська обл.;р-н Краснодонський;"N 48° 24’ 40""";"E 39° 45’ 27"""
Ф-8275;Калинова;Kalynova;балка;Луганська обл.;р-н Свердловський;"N 48° 7’ 25""";"E 39° 45’ 27"""
Ф-7694;Гришина;Hryshyna;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 53’ 55""";"E 39° 45’ 30"""
Ф-7178;Крейдяний Яр;Kreidianyi Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 3’ 53""";"E 39° 45’ 30"""
Ф-18562;Галута Західна;Haluta Zakhidna;балка;Луганська обл.;р-н Довжанський;"N 47° 52’ 58""";"E 39° 45’ 33"""
