Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-18455	Буковина	Bukovyna	урочище	Львівська обл.	р-н Турківський	"N 48° 56’ 34"""	"E 22° 53’ 35"""
Ф-14043	Бучок	Buchok	хребет	Львівська обл.	р-н Турківський	"N 49° 3’ 30"""	"E 22° 53’ 50"""
Ф-28672	Підсянський Кут	Pidsianskyi Kut	урочище	Львівська обл.	р-н Турківський	"N 49° 5’ 48"""	"E 22° 53’ 53"""
Ф-37906	Кудловець	Kudlovets	ліс	Львівська обл.	р-н Турківський	"N 49° 6’ 47"""	"E 22° 53’ 56"""
Ф-23188	Кічера-Сянківська	Kichera-Siankivska	гора	Львівська обл.	р-н Турківський	"N 49° 1’ 33"""	"E 22° 53’ 7"""
Ф-9201	Журівка	Zhurivka	гора	Закарпатська обл., Львівська обл.		"N 48° 54’ 8"""	"E 22° 54’ 20"""
Ф-14112	Журавка	Zhuravka	гора	Львівська обл.	р-н Турківський	"N 48° 54’ 7"""	"E 22° 54’ 21"""
Ф-38037	Карий	Karyi	ліс	Львівська обл.	р-н Турківський	"N 49° 10’ 33"""	"E 22° 54’ 27"""
Ф-2125	Золотновець	Zolotnovets	потік	Львівська обл.		"N 49° 18’ 30"""	"E 22° 54’ 28"""
Ф-36634	Маручин Верх	Maruchyn Verkh	гора	Львівська обл.	р-н Турківський	"N 49° 7’ 9"""	"E 22° 54’ 40"""
Ф-14255	Лиса-Гора	Lysa-Hora	гора	Львівська обл.	р-н Старосамбірський	"N 49° 29’ 54"""	"E 22° 54’ 53"""
Ф-14920	Свиньгар	Svynhar	гора	Львівська обл.	Старосамбірський р-н	"N 49° 27’ 25"""	"E 22° 54’ 54"""
Ф-31357	Свиньгар	Svynhar	гора	Львівська обл.	р-н Старосамбірський	"N 49° 27’ 25"""	"E 22° 54’ 54"""
Ф-27985	Рожділь	Rozhdil	гора	Львівська обл.	р-н Турківський	"N 48° 55’ 50"""	"E 22° 54’ 58"""
Ф-29179	Під Старостина	Pid Starostyna	урочище	Львівська обл.	р-н Турківський	"N 48° 55’ 38"""	"E 22° 54’ 9"""
Ф-9154	Перейба	Pereiba	гора	Закарпатська обл., Львівська обл.		"N 48° 59’ 2"""	"E 22° 55’ 10"""
Ф-14723	Ріг	Rih	гора	Львівська обл.	Турківський р-н	"N 49° 12’ 50"""	"E 22° 55’ 12"""
Ф-27828	Ріг	Rih	гора	Львівська обл.	р-н Турківський	"N 49° 12’ 50"""	"E 22° 55’ 12"""
Ф-9159	Блишня	Blyshnia	гора	Закарпатська обл., Львівська обл.		"N 48° 58’ 18"""	"E 22° 55’ 13"""
Ф-14094	Блішня	Blishnia	гора	Львівська обл.	р-н Турківський	"N 48° 58’ 20"""	"E 22° 55’ 14"""
Ф-14260	Кобила	Kobyla	гора	Львівська обл.	р-н Старосамбірський	"N 49° 25’ 12"""	"E 22° 55’ 20"""
Ф-16917	Блисці	Blystsi	гора	Львівська обл.	р-н Турківський	"N 48° 57’ 50"""	"E 22° 55’ 30"""
Ф-26333	Листковання	Lystkovannia	гора	Львівська обл.	р-н Турківський	"N 48° 53’ 28"""	"E 22° 55’ 35"""
Ф-2134	Гвіздянка	Hvizdianka	річка	Львівська обл.		"N 49° 18’ 24"""	"E 22° 55’ 37"""
Ф-14025	Теркалівська	Terkalivska	гора	Львівська обл.	р-н Старосамбірський	"N 49° 14’ 8"""	"E 22° 55’ 38"""
Ф-12238	Олений	Olenyi	урочище	Львівська обл.	р-н Старосамбірський	"N 49° 21’ 25"""	"E 22° 55’ 38"""
Ф-14246	Магера	Mahera	гора	Львівська обл.	р-н Старосамбірський	"N 49° 39’ 0"""	"E 22° 55’ 40"""
Ф-33293	Чериня	Cherynia	гора	Львівська обл.	р-н Турківський	"N 48° 56’ 22"""	"E 22° 55’ 45"""
Ф-18247	Гребінь	Hrebin	гора	Львівська обл.	р-н Турківський	"N 48° 58’ 33"""	"E 22° 55’ 45"""
Ф-24128	Кивнатина	Kyvnatyna	урочище	Львівська обл.	р-н Мостиський	"N 49° 45’ 10"""	"E 22° 55’ 49"""
Ф-33492	Тецьковий Верх	Tetskovyi Verkh	гора	Львівська обл.	р-н Турківський	"N 48° 57’ 34"""	"E 22° 55’ 53"""
Ф-34688	Щолб	Shcholb	хребет	Львівська обл.	р-н Турківський	"N 48° 58’ 21"""	"E 22° 55’ 57"""
Ф-14091	Перейба	Pereiba	гора	Львівська обл., Закарпатська обл.		"N 48° 58’ 58"""	"E 22° 55’ 9"""
Ф-36847	Щолб	Shcholb	гора	Львівська обл.	р-н Турківський	"N 49° 2’ 27"""	"E 22° 55’ 9"""
Ф-14108	Симовата	Symovata	гора	Львівська обл.	р-н Турківський	"N 48° 56’ 2"""	"E 22° 56’ 10"""
Ф-31109	Сигла Бітлянська	Syhla Bitlianska	урочище	Львівська обл.	р-н Турківський	"N 48° 58’ 57"""	"E 22° 56’ 13"""
Ф-31935	Щавинка	Shchavynka	гора	Львівська обл.	р-н Турківський	"N 49° 1’ 51"""	"E 22° 56’ 16"""
Ф-2147	Сколобан	Skoloban	потік	Львівська обл.		"N 49° 3’ 32"""	"E 22° 56’ 18"""
Ф-31806	Чентиївка	Chentyivka	урочище	Львівська обл.	р-н Турківський	"N 49° 12’ 23"""	"E 22° 56’ 21"""
Ф-9277	Великий Верх	Velykyi Verkh	гора	Закарпатська обл., Львівська обл.		"N 48° 53’ 8"""	"E 22° 56’ 40"""
Ф-14119	Великий Верх	Velykyi Verkh	гора	Львівська обл.	р-н Турківський	"N 48° 53’ 9"""	"E 22° 56’ 40"""
Ф-14026	Стара	Stara	гора	Львівська обл.	р-н Турківський	"N 49° 13’ 36"""	"E 22° 56’ 40"""
Ф-3088	Тисовичка	Tysovychka	потік	Львівська обл.		"N 49° 19’ 23"""	"E 22° 56’ 40"""
Ф-9268	Руський Шлях	Ruskyi Shliakh	перевал	Закарпатська обл., Львівська обл.		"N 48° 53’ 15"""	"E 22° 56’ 5"""
Ф-28697	Плешевичі	Pleshevychi	урочище	Львівська обл.	р-н Мостиський	"N 49° 44’ 5"""	"E 22° 56’ 55"""
Ф-14092	Катарзіна	Katarzina	гора	Львівська обл.	р-н Турківський	"N 48° 59’ 48"""	"E 22° 56’ 59"""
Ф-14117	Руський Шлях	Ruskyi Shliakh	перевал	Львівська обл.	р-н Турківський	"N 48° 53’ 16"""	"E 22° 56’ 7"""
Ф-22037	Конятин	Koniatyn	урочище	Львівська обл.	р-н Старосамбірський	"N 49° 40’ 9"""	"E 22° 57’ 1"""
Ф-36708	Хумовець	Khumovets	перевал	Львівська обл.	р-н Турківський	"N 48° 59’ 28"""	"E 22° 57’ 13"""
Ф-14245	Глиниска	Hlynyska	гора	Львівська обл.	р-н Старосамбірський	"N 49° 39’ 32"""	"E 22° 57’ 14"""
Ф-14050	Магура	Mahura	гора	Львівська обл.	р-н Турківський	"N 49° 0’ 36"""	"E 22° 57’ 15"""
Ф-12237	Ліс-Левурда	Lis-levurda	урочище	Львівська обл.	р-н Старосамбірський	"N 49° 28’ 34"""	"E 22° 57’ 20"""
Ф-14032	Єленевати	Yelenevaty	гора	Львівська обл.	р-н Турківський	"N 49° 8’ 8"""	"E 22° 57’ 22"""
Ф-14046	Устріх	Ustrikh	гора	Львівська обл.	р-н Турківський	"N 49° 3’ 55"""	"E 22° 57’ 23"""
Ф-14095	Кернична	Kernychna	гора	Львівська обл.	р-н Турківський	"N 48° 57’ 28"""	"E 22° 57’ 26"""
Ф-2149	Списаний	Spysanyi	потік	Львівська обл.		"N 49° 7’ 8"""	"E 22° 57’ 30"""
Ф-20699	Звіровий Верх	Zvirovyi Verkh	гора	Львівська обл.	р-н Турківський	"N 48° 53’ 40"""	"E 22° 57’ 33"""
Ф-14093	Гриньова	Hrynova	гора	Львівська обл.	р-н Турківський	"N 48° 59’ 16"""	"E 22° 57’ 40"""
Ф-2131	Ясениця	Yasenytsia	річка	Львівська обл.		"N 49° 19’ 8"""	"E 22° 57’ 40"""
Ф-2132	Лопушанка	Lopushanka	потік	Львівська обл.		"N 49° 18’ 24"""	"E 22° 57’ 41"""
Ф-16985	Братичі	Bratychi	урочище	Львівська обл.	р-н Мостиський	"N 49° 41’ 44"""	"E 22° 57’ 44"""
Ф-19329	Великий Ліс	Velykyi Lis	урочище	Львівська обл.	р-н Турківський	"N 49° 5’ 24"""	"E 22° 57’ 57"""
Ф-36550	Клева	Kleva	гора	Львівська обл.	р-н Турківський	"N 48° 55’ 11"""	"E 22° 57’ 59"""
Ф-23857	Капланівка	Kaplanivka	урочище	Львівська обл.	р-н Турківський	"N 49° 11’ 59"""	"E 22° 57’ 8"""
Ф-14721	Чонтиївка	Chontyivka	гора	Львівська обл.	Турківський р-н	"N 49° 12’ 45"""	"E 22° 58’ 11"""
Ф-32289	Чонтиївка	Chontyivka	гора	Львівська обл.	р-н Турківський	"N 49° 12’ 45"""	"E 22° 58’ 11"""
Ф-36487	Діл	Dil	гора	Львівська обл.	р-н Турківський	"N 49° 3’ 17"""	"E 22° 58’ 11"""
Ф-36411	Верборин	Verboryn	гора	Львівська обл.	р-н Турківський	"N 49° 4’ 57"""	"E 22° 58’ 14"""
Ф-9280	Нондаг	Nondah	гора	Закарпатська обл., Львівська обл.		"N 48° 51’ 55"""	"E 22° 58’ 15"""
Ф-18760	Буськове	Buskove	урочище	Львівська обл.	р-н Мостиський	"N 49° 47’ 2"""	"E 22° 58’ 17"""
Ф-14124	Нондаг	Nondah	гора	Львівська обл.	р-н Турківський	"N 48° 51’ 55"""	"E 22° 58’ 21"""
Ф-26906	Плосни	Plosny	гора	Львівська обл.	р-н Турківський	"N 48° 56’ 55"""	"E 22° 58’ 22"""
Ф-9293	Буковецька Полонина	Bukovetska Polonyna	хребет	Закарпатська обл., Львівська обл.		"N 48° 50’ 35"""	"E 22° 58’ 27"""
Ф-27638	Прзінор	Przinor	урочище	Львівська обл.	р-н Турківський	"N 48° 52’ 17"""	"E 22° 58’ 27"""
Ф-37302	Зелемени	Zelemeny	гора	Львівська обл.	р-н Турківський	"N 48° 50’ 43"""	"E 22° 58’ 29"""
Ф-28411	Обоче	Oboche	урочище	Львівська обл.	р-н Турківський	"N 49° 4’ 23"""	"E 22° 58’ 30"""
Ф-14027	Шейка	Sheika	гора	Львівська обл.	р-н Турківський	"N 49° 10’ 6"""	"E 22° 58’ 34"""
Ф-14248	Вангжелиска	Vanzhelyska	гора	Львівська обл.	р-н Старосамбірський	"N 49° 33’ 27"""	"E 22° 58’ 36"""
Ф-14261	Вослич	Voslych	гора	Львівська обл.	р-н Старосамбірський	"N 49° 26’ 28"""	"E 22° 58’ 37"""
Ф-22189	Круглий Ліс	Kruhlyi Lis	урочище	Львівська обл.	р-н Турківський	"N 48° 56’ 20"""	"E 22° 58’ 38"""
Ф-12824	Розтоки	Roztoky	урочище	Львівська обл.	р-н Турківський	"N 49° 3’ 40"""	"E 22° 58’ 40"""
Ф-32868	Широкий Горб	Shyrokyi Horb	урочище	Львівська обл.	р-н Турківський	"N 48° 51’ 34"""	"E 22° 58’ 45"""
Ф-14037	Хомовець	Khomovets	гора	Львівська обл.	р-н Турківський	"N 49° 4’ 54"""	"E 22° 58’ 47"""
Ф-14110	Кругла	Kruhla	гора	Львівська обл.	р-н Турківський	"N 48° 56’ 11"""	"E 22° 58’ 58"""
Ф-14017	Вершки	Vershky	гора	Львівська обл.	р-н Старосамбірський	"N 49° 18’ 49"""	"E 22° 59’ 0"""
Ф-1882	Оленка	Olenka	потік	Львівська обл.		"N 49° 20’ 20"""	"E 22° 59’ 10"""
