Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-8195	Зелений Клин	Zelenyi Klyn	урочище	Запорізька обл.	р-н Веселівський	"N 47° 9’ 8"""	"E 34° 48’ 20"""
Ф-8198	Тарасівка	Tarasivka	урочище	Запорізька обл.	р-н Василівський	"N 47° 9’ 8"""	"E 34° 53’ 40"""
Ф-17491	Вербова	Verbova	балка	Запорізька обл.	р-н Вільнянський	"N 48° 0’ 21"""	"E 35° 16’ 31"""
Ф-20046	Кам'яна	Kamiana	балка	Запорізька обл.	р-н Новомиколаївський	"N 48° 0’ 23"""	"E 36° 2’ 11"""
Ф-17639	Вільна	Vilna	балка	Запорізька обл.	р-н Запорізький	"N 48° 0’ 27"""	"E 35° 0’ 47"""
Ф-28676	Підхватна	Pidkhvatna	балка	Запорізька обл.	р-н Новомиколаївський	"N 48° 0’ 34"""	"E 35° 54’ 48"""
Ф-29996	Франца	Frantsa	балка	Запорізька обл.	р-н Запорізький	"N 48° 0’ 34"""	"E 34° 59’ 49"""
Ф-7541	Ганнівка	Hannivka	урочище	Запорізька обл.	р-н Новомиколаївський	"N 48° 0’ 38"""	"E 35° 46’ 20"""
Ф-10389	Лишня	Lyshnia	балка	Запорізька обл.	р-н Вільнянський	"N 48° 0’ 59"""	"E 35° 12’ 40"""
Ф-20295	Диханівське	Dykhanivske	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 0’ 9"""	"E 35° 39’ 30"""
Ф-29315	Твердохлібівська	Tverdokhlibivska	балка	Запорізька обл.	р-н Новомиколаївський	"N 48° 1’ 19"""	"E 35° 58’ 26"""
Ф-10373	Крутенька	Krutenka	балка	Запорізька обл.	р-н Новомиколаївський	"N 48° 1’ 2"""	"E 35° 55’ 18"""
Ф-7539	Соколівський Сад	Sokolivskyi Sad	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 1’ 41"""	"E 35° 36’ 0"""
Ф-10377	Любенцева	Liubentseva	балка	Запорізька обл.	"р-н Вільнянський, р-н
Новомиколаївський"	"N 48° 1’ 56"""	"E 35° 44’ 50"""
Ф-30408	Тернова	Ternova	балка	Запорізька обл.	р-н Вільнянський	"N 48° 1’ 59"""	"E 35° 34’ 53"""
Ф-941	Верхня Терса	Verkhia Tersa	річка	Запорізька обл., Дніпропетровська обл.		"N 48° 11’ 30"""	"E 35° 59’ 40"""
Ф-10391	Петерса	Petersa	балка	Запорізька обл.	р-н Запорізький	"N 48° 2’ 13"""	"E 35° 3’ 40"""
Ф-10394	Западня	Zapadnia	балка	Запорізька обл.	р-н Запорізький	"N 48° 2’ 19"""	"E 35° 5’ 12"""
Ф-30865	Старонікольське	Staronikolske	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 2’ 55"""	"E 35° 29’ 14"""
Ф-939	Середня Терса	Serednia Tersa	річка	Запорізька обл., Дніпропетровська обл.		"N 48° 20’ 25"""	"E 35° 45’ 20"""
Ф-7467	Голубівка	Holubivka	урочище	Запорізька обл.	"р-н Вільнянський, р-н
Новомиколаївський"	"N 48° 3’ 1"""	"E 35° 43’ 30"""
Ф-28004	Петерса	Petersa	балка	Запорізька обл.	р-н Запорізький	"N 48° 3’ 2"""	"E 35° 3’ 36"""
Ф-22024	Кролева	Kroleva	балка	Запорізька обл.	р-н Запорізький	"N 48° 3’ 26"""	"E 35° 3’ 6"""
Ф-28127	Осокорівка	Osokorivka	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 3’ 26"""	"E 35° 22’ 43"""
Ф-30271	Солене	Solene	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 3’ 31"""	"E 35° 29’ 16"""
Ф-19727	Кленове	Klenove	урочище	Запорізька обл.	р-н Вільнянський	"N 48° 3’ 43"""	"E 35° 24’ 40"""
Ф-14986	Могила Виширіна	Mohyla Vyshyrina	курган	Запорізька обл.	Запорізький р-н	"N 48° 3’ 59"""	"E 35° 0’ 34"""
Ф-24839	Могила Виширіна	Mohyla Vyshyrina	курган	Запорізька обл.	р-н Запорізький	"N 48° 3’ 59"""	"E 35° 0’ 34"""
Ф-10386	Таволжанська	Tavolzhanska	балка	Запорізька обл.	р-н Вільнянський	"N 48° 4’ 15"""	"E 35° 10’ 10"""
