Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-7154	Старина	Staryna	урочище	Київська обл.	р-н Поліський	"N 51° 16’ 0"""	"E 29° 44’ 30"""
Ф-7156	Роз'їжджі Гори	Rozizhdzhi Hory	урочище	Київська обл.	р-н Іванківський	"N 51° 15’ 49"""	"E 29° 57’ 31"""
Ф-72	Боровецький	Borovetskyi	став	Київська обл.		"N 49° 48’ 15"""	"E 30° 10’ 40"""
Ф-7221	Крякова	Kriakova	урочище	Київська обл.	р-н Поліський	"N 51° 14’ 56"""	"E 29° 32’ 40"""
Ф-7225	Вільці	Viltsi	урочище	Київська обл.	р-н Поліський	"N 51° 15’ 30"""	"E 29° 45’ 42"""
Ф-7227	Мутвиця	Mutvytsia	урочище	Київська обл.	р-н Поліський	"N 51° 12’ 58"""	"E 29° 48’ 30"""
Ф-7238	Дуброве	Dubrove	урочище	Київська обл.	р-н Іванківський	"N 51° 13’ 9"""	"E 29° 58’ 50"""
Ф-7246	Колодне	Kolodne	урочище	Київська обл.	р-н Поліський	"N 51° 12’ 48"""	"E 29° 39’ 50"""
Ф-7248	Топкий Мох	Topkyi Mokh	урочище	Київська обл.	р-н Поліський	"N 51° 9’ 50"""	"E 29° 53’ 0"""
Ф-7250	Казенний Ліс	Kazennyi Lis	урочище	Київська обл.	р-н Поліський	"N 51° 9’ 33"""	"E 29° 48’ 0"""
Ф-7261	Лиса Гора	lysa Hora	урочище	Київська обл.	р-н Іванківський	"N 51° 6’ 5"""	"E 29° 56’ 26"""
Ф-7272	Березницька	Bereznytska	урочище	Київська обл.	р-н Поліський, р-н Іванківський	"N 51° 5’ 36"""	"E 29° 43’ 50"""
Ф-7275	Спиридоновщина	Spyrydonovshchyna	урочище	Київська обл.	р-н Іванківський	"N 51° 4’ 21"""	"E 29° 51’ 30"""
Ф-7278	Осинник	Osynnyk	урочище	Київська обл.	р-н Поліський	"N 51° 4’ 20"""	"E 29° 41’ 40"""
Ф-7284	Мирине	Myryne	урочище	Київська обл.	р-н Поліський	"N 51° 3’ 4"""	"E 29° 37’ 35"""
Ф-7286	Волковня	Volkovnia	урочище	Київська обл.	р-н Поліський, р-н Іванківський	"N 51° 2’ 50"""	"E 29° 41’ 0"""
Ф-7290	Семенчик	Semenchyk	урочище	Київська обл.	р-н Іванківський	"N 51° 2’ 35"""	"E 29° 59’ 30"""
Ф-7292	Вишенька	Vyshenka	урочище	Київська обл.	р-н Іванківський	"N 51° 1’ 55"""	"E 29° 50’ 31"""
Ф-7296	Дігтярня	Dihtiarnia	урочище	Київська обл.	р-н Іванківський	"N 51° 0’ 40"""	"E 29° 34’ 50"""
Ф-73	Степанкове	Stepankove	озеро	Київська обл.		"N 50° 14’ 15"""	"E 30° 56’ 30"""
Ф-7301	Каменещина	Kameneshchyna	урочище	Київська обл.	р-н Іванківський	"N 51° 17’ 49"""	"E 30° 3’ 30"""
Ф-7304	Калинівське Гремове	Kalynivske Hremove	урочище	Київська обл.	р-н Іванківський	"N 51° 17’ 30"""	"E 30° 8’ 30"""
Ф-7306	Красна Гора	Krasna Hora	урочище	Київська обл.	р-н Іванківський	"N 51° 16’ 30"""	"E 30° 22’ 50"""
Ф-7327	Прохорів Вигор	Prokhoriv Vyhor	урочище	Київська обл.	р-н Іванківський	"N 51° 12’ 30"""	"E 30° 5’ 40"""
Ф-7330	Череметівська Ділянка	Cheremetivska Dilianka	урочище	Київська обл.	р-н Іванківський	"N 51° 10’ 58"""	"E 30° 11’ 40"""
Ф-7346	Великий Круг	Velykyi Kruh	урочище	Київська обл.	р-н Іванківський	"N 51° 8’ 50"""	"E 30° 13’ 29"""
Ф-7351	Белендикове Болото	Belendukove Boloto	урочище	Київська обл.	р-н Іванківський	"N 51° 10’ 0"""	"E 30° 16’ 25"""
Ф-7356	Безіменка	Bezimenka	урочище	Київська обл.	р-н Іванківський	"N 51° 8’ 25"""	"E 30° 9’ 0"""
Ф-7362	Велика Блистюнь	Velyka Blystiun	урочище	Київська обл.	р-н Іванківський	"N 51° 6’ 21"""	"E 30° 22’ 29"""
Ф-7372	Хомичів Брід	Khomychiv Brid	урочище	Київська обл.	р-н Іванківський	"N 51° 1’ 45"""	"E 30° 8’ 50"""
Ф-7376	Храківщина	Khrakivshchyna	урочище	Київська обл.	р-н Вишгородський	"N 51° 0’ 38"""	"E 30° 23’ 30"""
Ф-7380	Бердихіни	Berdykhiny	урочище	Київська обл.	р-н Вишгородський	"N 50° 59’ 50"""	"E 30° 16’ 40"""
Ф-7385	Роздоли	Rozdoly	урочище	Київська обл.	р-н Вишгородський	"N 50° 58’ 20"""	"E 30° 17’ 11"""
Ф-7388	Скор	Skor	урочище	Київська обл.	р-н Іванківський	"N 50° 56’ 50"""	"E 30° 0’ 39"""
Ф-7399	Купувате Болото	Kupuvate Boloto	урочище	Київська обл.	р-н Вишгородський	"N 50° 57’ 30"""	"E 30° 7’ 20"""
Ф-74	Святе	Sviate	озеро	Київська обл.		"N 50° 58’ 10"""	"E 30° 1’ 40"""
Ф-7408	Басова Нива	Basova Nyva	урочище	Київська обл.	р-н Вишгородський	"N 50° 57’ 20"""	"E 30° 16’ 0"""
Ф-7410	Онищенко	Onyshchenko	урочище	Київська обл.	р-н Іванківський	"N 50° 55’ 20"""	"E 30° 0’ 40"""
Ф-7417	Бережок	Berezhok	урочище	Київська обл.	р-н Вишгородський	"N 50° 55’ 10"""	"E 30° 6’ 30"""
Ф-7420	Пожар	Pozhar	урочище	Київська обл.	р-н Іванківський	"N 50° 53’ 58"""	"E 30° 4’ 40"""
Ф-7432	Пильники	Pulnyky	урочище	Київська обл.	р-н Іванківський	"N 50° 52’ 45"""	"E 30° 2’ 20"""
Ф-7434	Недороз	Nedoroz	урочище	Київська обл.	р-н Вишгородський	"N 50° 53’ 30"""	"E 30° 12’ 20"""
Ф-7444	Морозиха	Morozykha	урочище	Київська обл.	р-н Іванківський	"N 50° 51’ 50"""	"E 30° 1’ 20"""
Ф-7464	Пухова Гора	Pukhova Hora	урочище	Київська обл.	р-н Вишгородський	"N 50° 52’ 0"""	"E 30° 20’ 50"""
Ф-75	Біле	Bile	болото	Київська обл.		"N 50° 4’ 30"""	"E 31° 5’ 10"""
Ф-7536	Перекоп	Perekop	урочище	Київська обл.	р-н Вишгородський	"N 50° 51’ 10"""	"E 30° 14’ 0"""
Ф-7542	Голобове Гало	Holobove Halo	урочище	Київська обл.	р-н Іванківський	"N 50° 49’ 40"""	"E 30° 1’ 20"""
Ф-7544	Сороче	Soroche	урочище	Київська обл.	р-н Вишгородський	"N 50° 49’ 40"""	"E 30° 13’ 50"""
Ф-7551	Великий Мох	Velykyi Mokh	урочище	Київська обл.	р-н Вишгородський	"N 50° 49’ 5"""	"E 30° 12’ 30"""
Ф-7553	Дідове Болото	Didove Boloto	урочище	Київська обл.	р-н Іванківський	"N 50° 48’ 55"""	"E 30° 18’ 40"""
Ф-7556	Бродник	Brodnyk	урочище	Київська обл.	р-н Іванківський	"N 50° 46’ 30"""	"E 30° 0’ 40"""
Ф-7561	Краківський Майдан	Krakivskyi Maidan	урочище	Київська обл.	р-н Вишгородський	"N 50° 43’ 30"""	"E 30° 8’ 10"""
Ф-7563	Бортна Сосна	Bortna Sosna	урочище	Київська обл.	р-н Бородянський	"N 50° 41’ 20"""	"E 30° 5’ 50"""
Ф-7570	Черемшан	Cheremshan	урочище	Київська обл.	р-н Вишгородський	"N 50° 59’ 38"""	"E 30° 36’ 20"""
Ф-7573	Кокора	Kokora	урочище	Київська обл.	р-н Вишгородський	"N 50° 47’ 39"""	"E 30° 34’ 50"""
Ф-7578	Сухе	Sukhe	урочище	Київська обл.	р-н Вишгородський	"N 50° 44’ 50"""	"E 30° 35’ 40"""
Ф-7595	Лебедине	Lebedyne	урочище	Київська обл.	р-н Вишгородський	"N 50° 43’ 50"""	"E 30° 36’ 27"""
Ф-76	Броварка	Brovarka	річка	Київська обл.		"N 50° 6’ 20"""	"E 31° 27’ 55"""
Ф-7616	Оврут	Ovrut	урочище	Київська обл.	р-н Броварський	"N 50° 44’ 40"""	"E 30° 49’ 8"""
Ф-7620	Вільха	Vilkha	урочище	Київська обл.	р-н Вишгородський	"N 50° 42’ 51"""	"E 30° 36’ 5"""
Ф-7623	Федорівка	Fedorivka	урочище	Київська обл.	р-н Броварський	"N 50° 42’ 50"""	"E 30° 50’ 30"""
Ф-7629	Солов'їне	Solovine	урочище	Київська обл.	р-н Броварський	"N 50° 41’ 50"""	"E 30° 42’ 40"""
Ф-7635	Волуйське	Voluiske	урочище	Київська обл.	р-н Вишгородський	"N 50° 41’ 40"""	"E 30° 35’ 30"""
Ф-7647	Казенний Ліс	Kazennyi Ліс	урочище	Київська обл.	р-н Броварський	"N 50° 40’ 19"""	"E 30° 53’ 30"""
Ф-7649	Яблунька	Yablunka	урочище	Київська обл.	р-н Вишгородський	"N 50° 37’ 35"""	"E 30° 21’ 30"""
Ф-7650	Синяки	Syniaky	урочище	Київська обл.	р-н Києво-Святошинський	"N 50° 34’ 40"""	"E 30° 25’ 53"""
Ф-7653	Ясна Поляна	Yasna Poliana	урочище	Київська обл.	р-н Києво-Святошинський	"N 50° 27’ 50"""	"E 30° 3’ 51"""
Ф-7654	Попове	Popove	урочище	Київська обл.	р-н Вишгородський	"N 50° 39’ 20"""	"E 30° 35’ 20"""
Ф-7656	Мелятига	Meliatyha	урочище	Київська обл.	р-н Броварський	"N 50° 39’ 45"""	"E 30° 55’ 56"""
Ф-7658	Артюхово	Artiukhovo	урочище	Київська обл.	р-н Броварський	"N 50° 30’ 20"""	"E 30° 58’ 40"""
Ф-7660	Плиски	Plysky	урочище	Київська обл.	р-н Васильківський	"N 50° 12’ 50"""	"E 30° 4’ 20"""
Ф-7661	Монашин Млин	Monashyn Mlyn	урочище	Київська обл.	р-н Фастівський, р-н Васильківський	"N 50° 12’ 13"""	"E 30° 0’ 51"""
Ф-7662	Табурище	Taburyshche	урочище	Київська обл.	р-н Васильківський	"N 50° 11’ 25"""	"E 30° 4’ 20"""
Ф-7666	Петровське	Petrovske	урочище	Київська обл.	р-н Васильківський	"N 50° 4’ 50"""	"E 30° 18’ 50"""
Ф-7667	Вінницькі Стави	Vinnytski Stavy	урочище	Київська обл.	р-н Фастівський, р-н Васильківський	"N 50° 1’ 30"""	"E 30° 5’ 30"""
Ф-7668	Домаха	Domakha	урочище	Київська обл.	р-н Обухівський	"N 50° 13’ 25"""	"E 30° 40’ 50"""
Ф-7669	Чиста Калюжа	Chysta Kaliuzha	урочище	Київська обл.	р-н Бориспільський	"N 50° 13’ 50"""	"E 30° 50’ 40"""
Ф-7673	Глухівщина	Hlukhivshchena	урочище	Київська обл.	р-н Бориспільський	"N 50° 10’ 25"""	"E 30° 54’ 49"""
Ф-7674	Діброва	Dibrova	урочище	Київська обл.	р-н Обухівський	"N 50° 8’ 5"""	"E 30° 34’ 58"""
Ф-7675	Березовий Яр	Berezovui Yar	урочище	Київська обл.	р-н Кагарлицький	"N 49° 59’ 21"""	"E 30° 51’ 58"""
Ф-7676	Ясенів Ліс	Yaseniv Lis	урочище	Київська обл.	р-н Кагарлицький	"N 49° 59’ 33"""	"E 30° 56’ 36"""
Ф-7678	Кремінне	Kreminne	урочище	Київська обл.	р-н Кагарлицький	"N 49° 49’ 20"""	"E 30° 49’ 40"""
Ф-7680	Кошарки	Kosharky	урочище	Київська обл.	р-н Кагарлицький	"N 49° 55’ 50"""	"E 31° 5’ 20"""
Ф-7683	Пригора	Pryhora	урочище	Київська обл.	р-н Ставищенський	"N 49° 23’ 5"""	"E 30° 5’ 0"""
Ф-7686	Шепетуха	Shepetukha	урочище	Київська обл.	р-н Богуславський	"N 49° 29’ 25"""	"E 30° 42’ 40"""
Ф-7687	Турчіна	Turchina	урочище	Київська обл.	р-н Богуславський	"N 49° 28’ 32"""	"E 30° 44’ 31"""
Ф-7688	Маковецьке	Makovetske	урочище	Київська обл.	р-н Таращанський	"N 49° 25’ 58"""	"E 30° 40’ 39"""
Ф-7690	Герчаки	Herchaky	урочище	Київська обл.	р-н Богуславський	"N 49° 24’ 0"""	"E 30° 51’ 49"""
Ф-77	Яненка	Yanenka	річка	Київська обл.		"N 50° 5’ 43"""	"E 31° 32’ 57"""
Ф-7705	Бурти	Butty	урочище	Київська обл.	р-н Яготинський	"N 50° 19’ 45"""	"E 31° 55’ 20"""
