Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-31375	Сухарин	Sukharyn	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 35’ 46"""	"E 27° 27’ 33"""
Ф-31448	Сосникова лінія	Sosnykova liniia	урочище	Рівненська обл.	р-н Демидівський	"N 50° 25’ 21"""	"E 25° 16’ 14"""
Ф-31451	Соснівка	Sosnivka	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 40’ 19"""	"E 25° 46’ 30"""
Ф-31458	Славкув	Slavkuv	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 21’ 36"""	"E 27° 12’ 30"""
Ф-31485	Супрун	Suprun	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 42’ 18"""	"E 26° 35’ 53"""
Ф-31512	Соснова	Sosnova	гора	Рівненська обл.	р-н Володимирецький	"N 51° 39’ 29"""	"E 26° 12’ 13"""
Ф-31535	Сліповець	Slipovets	урочище	Рівненська обл.	р-н Дубенський	"N 50° 28’ 26"""	"E 25° 59’ 4"""
Ф-31538	Ставище	Stavyshche	урочище	Рівненська обл.	р-н Костопільський	"N 50° 54’ 3"""	"E 26° 15’ 22"""
Ф-31539	Ставище	Stavyshche	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 23’ 41"""	"E 26° 1’ 56"""
Ф-31540	Ставище	Stavyshche	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 46’ 23"""	"E 25° 49’ 37"""
Ф-31541	Ставище	Stavyshche	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 33’ 33"""	"E 25° 36’ 10"""
Ф-31573	Погоня	Pohonia	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 42’ 51"""	"E 26° 52’ 50"""
Ф-31574	Погоня	Pohonia	урочище	Рівненська обл.	р-н Сарненський	"N 51° 24’ 32"""	"E 26° 58’ 25"""
Ф-31575	Погоня	Pohonia	урочище	Рівненська обл.	р-н Сарненський	"N 51° 26’ 10"""	"E 26° 35’ 27"""
Ф-31576	Погоня	Pohonia	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 34’ 33"""	"E 26° 48’ 0"""
Ф-31660	Порода	Poroda	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 24’ 26"""	"E 26° 7’ 20"""
Ф-31661	Порослі	Porosli	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 22’ 15"""	"E 26° 7’ 29"""
Ф-31662	Порослі	Porosli	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 20’ 6"""	"E 26° 18’ 54"""
Ф-31668	Світле	Svitle	урочище	Рівненська обл.	р-н Сарненський	"N 51° 13’ 57"""	"E 27° 0’ 50"""
Ф-31674	Своя	Svoia	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 31’ 13"""	"E 27° 22’ 5"""
Ф-31724	Чорна Лоза	Chorna Loza	урочище	Рівненська обл.	р-н Здолбунівський	"N 50° 23’ 17"""	"E 25° 56’ 59"""
Ф-31775	Річка	Richka	урочище	Рівненська обл.	р-н Сарненський	"N 51° 22’ 17"""	"E 26° 42’ 5"""
Ф-31776	Прохотські гори	Prokhotski hory	гори	Рівненська обл.	р-н Зарічненський	"N 51° 51’ 33"""	"E 25° 42’ 50"""
Ф-31789	Шлюба	Shliuba	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 36’ 58"""	"E 25° 37’ 52"""
Ф-31790	Шлюзи	Shliuzy	урочище	Рівненська обл.	р-н Демидівський	"N 50° 26’ 6"""	"E 25° 15’ 33"""
Ф-31805	Чемернів	Chemerniv	урочище	Рівненська обл.	р-н Сарненський	"N 51° 18’ 57"""	"E 26° 30’ 2"""
Ф-31845	Шнури	Shnury	урочище	Рівненська обл.	р-н Березнівський	"N 50° 53’ 36"""	"E 26° 49’ 8"""
Ф-31853	Яр	Yar	урочище	Рівненська обл.	р-н Млинівський	"N 50° 36’ 24"""	"E 25° 37’ 56"""
Ф-31872	Чумаки	Chumaky	урочище	Рівненська обл.	р-н Рівненський	"N 50° 40’ 45"""	"E 26° 0’ 40"""
Ф-31888	Гуменська	Humenska	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 49’ 15"""	"E 26° 18’ 40"""
Ф-31933	Шутин	Shutyn	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 52’ 51"""	"E 26° 3’ 40"""
Ф-32022	Чорнине	Chornyne	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 43’ 56"""	"E 26° 16’ 48"""
Ф-32024	Чорничне	Chornychne	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 35’ 36"""	"E 27° 25’ 59"""
Ф-32027	Чорні Лози	Chorni Lozy	урочище	Рівненська обл.	р-н Рівненський	"N 50° 46’ 32"""	"E 26° 19’ 18"""
Ф-32030	Чорновирка	Chornovyrka	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 44’ 10"""	"E 26° 38’ 22"""
Ф-32036	Шопи	Shopy	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 48’ 58"""	"E 26° 24’ 30"""
Ф-32066	Шпалоріз	Shpaloriz	урочище	Рівненська обл.	р-н Острозький	"N 50° 20’ 11"""	"E 26° 32’ 31"""
Ф-32080	Заклоччя	Zaklochchia	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 19’ 32"""	"E 27° 24’ 6"""
Ф-32081	Шпаків	Shpakiv	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 24’ 49"""	"E 26° 22’ 6"""
Ф-32086	Шпакове	Shpakove	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 30’ 42"""	"E 26° 38’ 56"""
Ф-32087	Шпалюха	Shpaliukha	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 37’ 25"""	"E 26° 14’ 9"""
Ф-32098	Яр Шабашиха	Yar Shabashykha	урочище	Рівненська обл.	р-н Дубенський	"N 50° 20’ 15"""	"E 25° 29’ 26"""
Ф-32109	Чупринчина	Chuprynchyna	гора	Рівненська обл.	р-н Зарічненський	"N 51° 34’ 2"""	"E 25° 43’ 44"""
Ф-32134	Машки	Mashky	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 24’ 13"""	"E 27° 11’ 24"""
Ф-32218	Ямчище	Yamchyshche	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 43’ 2"""	"E 27° 10’ 44"""
Ф-32229	Яневка	Yanevka	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 24’ 15"""	"E 26° 10’ 10"""
Ф-32252	Чортове	Chortove	урочище	Рівненська обл.	р-н Костопільський	"N 50° 56’ 13"""	"E 26° 35’ 21"""
Ф-32277	Коровинське	Korovynske	урочище	Рівненська обл.	р-н Сарненський	"N 51° 26’ 38"""	"E 26° 43’ 23"""
Ф-32340	Чорна Гора	Chorna Hora	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 30’ 48"""	"E 27° 27’ 23"""
Ф-32378	Шаль	Shal	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 36’ 45"""	"E 26° 49’ 3"""
Ф-32390	Папоротне	Paporotne	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 50’ 19"""	"E 26° 20’ 44"""
Ф-32398	Шкулка	Shkulka	урочище	Рівненська обл.	р-н Сарненський	"N 51° 30’ 16"""	"E 26° 45’ 10"""
Ф-32401	Шкури	Shkury	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 47’ 43"""	"E 26° 3’ 59"""
Ф-32409	Янище	Yanyshche	урочище	Рівненська обл.	р-н Сарненський	"N 51° 8’ 11"""	"E 26° 42’ 43"""
Ф-32459	Янове	Yanove	урочище	Рівненська обл.	р-н Костопільський	"N 50° 50’ 15"""	"E 26° 40’ 36"""
Ф-32479	Чортове Болото	Chortove Boloto	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 38’ 12"""	"E 27° 10’ 42"""
Ф-32480	Чортове Болото	Chortove Boloto	урочище	Рівненська обл.	р-н Костопільський	"N 50° 57’ 1"""	"E 25° 59’ 5"""
Ф-32506	Грядки	Hriadky	урочище	Рівненська обл.	р-н Березнівський	"N 50° 52’ 23"""	"E 26° 51’ 56"""
