Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-9720	Косьмінна	Kosminna	балка	Дніпропетровська обл.	р-н Петропавлівський	"N 48° 20’ 47"""	"E 36° 28’ 10"""
Ф-9725	Дубова	Dubova	балка	Дніпропетровська обл.	р-н Юр'ївський	"N 48° 54’ 12"""	"E 35° 49’ 50"""
Ф-9727	Морозова	Morozova	балка	Дніпропетровська обл.	р-н Юр'ївський	"N 48° 53’ 38"""	"E 35° 52’ 5"""
Ф-9728	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Новомосковський	"N 48° 57’ 35"""	"E 35° 31’ 1"""
Ф-9731	Лозова	Lozova	балка	Дніпропетровська обл.	р-н Юр'ївський	"N 48° 52’ 16"""	"E 35° 39’ 42"""
Ф-9736	Міленська	Milenska	балка	Дніпропетровська обл.	р-н Юр'ївський	"N 48° 46’ 38"""	"E 35° 44’ 43"""
Ф-9738	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Юр'ївський	"N 48° 50’ 28"""	"E 35° 48’ 32"""
Ф-9743	Калинова	Kalynova	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 42’ 17"""	"E 35° 46’ 38"""
Ф-9745	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 45’ 22"""	"E 35° 42’ 5"""
Ф-9749	Северинова	Severynova	балка	Дніпропетровська обл.	р-н Новомосковський	"N 48° 45’ 10"""	"E 35° 37’ 5"""
Ф-9764	Бобровка	Bobrovka	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 46’ 28"""	"E 35° 40’ 47"""
Ф-9769	Вороніна	Voronina	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 41’ 18"""	"E 35° 38’ 55"""
Ф-9774	Козина	Kozyna	балка	Дніпропетровська обл.	р-н Новомосковський	"N 48° 47’ 28"""	"E 35° 31’ 0"""
Ф-9781	Жолобок	Zholobok	балка	Дніпропетровська обл.	р-н Юр'ївський	"N 48° 45’ 3"""	"E 35° 57’ 50"""
Ф-9809	Куца	Kutsa	балка	Дніпропетровська обл.	р-н Новомосковський	"N 48° 58’ 45"""	"E 35° 20’ 45"""
Ф-9814	Московське Урочище	Moskovske Urochyshche	балка	Дніпропетровська обл.	р-н Новомосковський	"N 48° 55’ 20"""	"E 35° 22’ 50"""
Ф-9822	Дащина	Dashchyna	балка	Дніпропетровська обл.	р-н Магдалинівський	"N 48° 51’ 28"""	"E 35° 3’ 59"""
Ф-9824	Караванцева	Karavantseva	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 27’ 16"""	"E 35° 48’ 26"""
Ф-9911	Московка	Moskovka	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 28’ 10"""	"E 35° 47’ 25"""
Ф-9915	Кирикова	Kyrykova	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 21’ 15"""	"E 35° 50’ 3"""
Ф-9919	Водяна	Vodiana	балка	Дніпропетровська обл.	"р-н Синельниківський, р-н
Павлоградський"	"N 48° 28’ 50"""	"E 35° 40’ 50"""
Ф-9930	Медвежа	Medvezha	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 32’ 57"""	"E 35° 38’ 5"""
Ф-9934	Гуланова	Hulanova	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 39’ 2"""	"E 35° 51’ 4"""
Ф-9939	Суха	Sukha	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 21’ 56"""	"E 35° 41’ 30"""
Ф-9952	Березнегувата	Bereznehuvata	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 33’ 8"""	"E 35° 33’ 42"""
