Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-46118	Лопуховате	Lopukhovate	озеро	Донецька обл.	р-н Лиманський	"N 48° 54’ 7"""	"E 37° 50’ 38"""
Ф-4635	Холодний Яр	Kholodnyi Yar	балка	Донецька обл.	р-н Слов'янський	"N 49° 2’ 35"""	"E 37° 25’ 50"""
Ф-4644	Маковський Яр	Makovskyi Yar	балка	Донецька обл.	р-н Слов'янський	"N 49° 2’ 0"""	"E 37° 23’ 55"""
Ф-4660	Гола Долина	Hola Dolyna	балка	Донецька обл.	р-н Слов'янський	"N 49° 0’ 45"""	"E 37° 25’ 50"""
Ф-4687	Крутий Яр	Krutyi Yar	балка	Донецька обл.	р-н Краснолиманський	"N 49° 10’ 55"""	"E 37° 40’ 40"""
Ф-4696	Крейдяний Яр	Kreidianyi Yar	балка	Донецька обл.	р-н Краснолиманський	"N 49° 10’ 25"""	"E 37° 38’ 50"""
Ф-4705	Коров'ячий Яр	Koroviachyi Yar	балка	Донецька обл.	р-н Краснолиманський	"N 49° 10’ 8"""	"E 37° 36’ 30"""
Ф-4713	Попів Яр	Popiv Yar	балка	Донецька обл.	р-н Краснолиманський	"N 49° 7’ 45"""	"E 37° 40’ 0"""
Ф-4727	Дідів Яр	Didiv Yar	балка	Донецька обл.	р-н Краснолиманський	"N 49° 8’ 28"""	"E 37° 55’ 40"""
Ф-4750	Кривошиїва	Kryvoshyiva	балка	Донецька обл.	р-н Краснолиманський	"N 49° 7’ 35"""	"E 37° 54’ 20"""
Ф-4764	Жолобки	Zholobky	балка	Донецька обл.	р-н Краснолиманський	"N 49° 6’ 35"""	"E 37° 52’ 0"""
Ф-4771	Вівсяновка	Vivsianovka	балка	Донецька обл.	р-н Краснолиманський	"N 49° 6’ 55"""	"E 37° 51’ 0"""
Ф-4776	Кругла	Kruhla	балка	Донецька обл.	р-н Краснолиманський	"N 49° 5’ 35"""	"E 37° 59’ 25"""
Ф-4779	Середній Яр	Seredniy	балка	Донецька обл.	р-н Краснолиманський	"N 49° 4’ 50"""	"E 37° 59’ 5"""
Ф-4783	Бакай	Bakai	балка	Донецька обл.	р-н Краснолиманський	"N 49° 2’ 43"""	"E 37° 58’ 36"""
Ф-4788	Миньчин Яр	Mynchyn Yar	балка	Донецька обл.	р-н Краснолиманський	"N 49° 3’ 58"""	"E 37° 53’ 0"""
Ф-4793	Пітьків Яр	Pitkiv Yar	балка	Донецька обл.	р-н Краснолиманський	"N 49° 0’ 39"""	"E 37° 53’ 13"""
Ф-4800	Лисенька	Lysenka	балка	Донецька обл.	р-н Краснолиманський	"N 49° 7’ 0"""	"E 37° 46’ 40"""
Ф-4805	Полікарпов	Polikarpov	балка	Донецька обл.	р-н Краснолиманський	"N 49° 6’ 0"""	"E 37° 45’ 20"""
Ф-4832	Широкий Яр	Shyrokyi Yar	балка	Донецька обл.	р-н Краснолиманський	"N 49° 4’ 8"""	"E 38° 1’ 41"""
Ф-4839	Водяний Яр	Vodianyi Yar	балка	Донецька обл.	р-н Краснолиманський	"N 49° 0’ 30"""	"E 38° 0’ 50"""
Ф-4844	Крутий Яр	Krutyi Yar	балка	Донецька обл.	р-н Олександрівський	"N 48° 46’ 51"""	"E 36° 43’ 8"""
Ф-4859	Опалиха	Opalykha	балка	Донецька обл.	р-н Олександрівський	"N 48° 46’ 4"""	"E 36° 43’ 50"""
Ф-4878	Зелена	Zelena	балка	Донецька обл.	р-н Олександрівський	"N 48° 43’ 25"""	"E 36° 45’ 35"""
Ф-4888	Піщана	Pishchana	балка	Донецька обл.	р-н Слов'янський	"N 48° 58’ 8"""	"E 37° 27’ 35"""
Ф-4893	Новакова	Novakova	балка	Донецька обл.	р-н Слов'янський	"N 48° 52’ 12"""	"E 37° 24’ 50"""
Ф-4896	Бородаевський	Borodaevskyi	балка	Донецька обл.	р-н Слов'янський	"N 48° 50’ 35"""	"E 37° 12’ 8"""
Ф-4900	Тернова	Ternova	балка	Донецька обл.	р-н Слов'янський	"N 48° 50’ 35"""	"E 37° 27’ 18"""
Ф-4906	Дубова	Dubova	балка	Донецька обл.	р-н Олександрівський	"N 48° 49’ 10"""	"E 37° 6’ 15"""
Ф-4918	Берестова	Berestova	балка	Донецька обл.	р-н Олександрівський	"N 48° 49’ 6"""	"E 37° 9’ 40"""
Ф-4929	Широка	Shyroka	балка	Донецька обл.	р-н Олександрівський	"N 48° 47’ 35"""	"E 37° 10’ 10"""
Ф-4931	Широка	Shyroka	балка	Донецька обл.	р-н Олександрівський	"N 48° 46’ 30"""	"E 37° 7’ 45"""
Ф-4937	Піщана	Pishchana	балка	Донецька обл.	р-н Олександрівський	"N 48° 45’ 54"""	"E 37° 6’ 40"""
Ф-4940	Німецька	Nimetska	балка	Донецька обл.	р-н Олександрівський	"N 48° 45’ 41"""	"E 37° 2’ 42"""
Ф-4947	Гренова	Hrenova	балка	Донецька обл.	р-н Олександрівський	"N 48° 45’ 46"""	"E 37° 0’ 40"""
Ф-4959	Дубовська	Dubovska	балка	Донецька обл.	р-н Олександрівський	"N 48° 47’ 35"""	"E 37° 5’ 40"""
Ф-4966	Вовчий Яр	Vovchyi Yar	балка	Донецька обл.	р-н Олександрівський	"N 48° 46’ 15"""	"E 37° 2’ 10"""
Ф-4969	Копані	Kopani	балка	Донецька обл.	р-н Олександрівський	"N 48° 44’ 25"""	"E 37° 3’ 30"""
Ф-4980	Антипів Яр	Antypiv Yar	балка	Донецька обл.	р-н Олександрівський	"N 48° 41’ 12"""	"E 37° 5’ 1"""
Ф-4983	Сухий Яр	Sukhyi Yar	балка	Донецька обл.	"р-н Олександрівський, р-н
Слов'янський"	"N 48° 44’ 20"""	"E 37° 19’ 35"""
Ф-4988	Казанок	Kazanok	балка	Донецька обл.	р-н Олександрівський	"N 48° 40’ 38"""	"E 37° 17’ 10"""
Ф-4989	Вовча	Vovcha	балка	Донецька обл.	р-н Олександрівський	"N 48° 42’ 29"""	"E 37° 16’ 50"""
Ф-4993	Шаврова	Shavrova	балка	Донецька обл.	р-н Олександрівський	"N 48° 43’ 55"""	"E 37° 11’ 50"""
Ф-5002	Піщана	Pishchana	балка	Донецька обл.	р-н Слов'янський	"N 48° 43’ 25"""	"E 37° 25’ 15"""
Ф-5008	Широка	Shyroka	балка	Донецька обл.	р-н Слов'янський	"N 48° 40’ 45"""	"E 37° 25’ 39"""
Ф-5012	Трійчаста	Triychasta	балка	Донецька обл.	р-н Слов'янський	"N 48° 40’ 52"""	"E 37° 27’ 8"""
Ф-5035	Двороруб	Dvororub	балка	Донецька обл.	р-н Слов'янський	"N 48° 58’ 5"""	"E 37° 30’ 25"""
