Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-18882	Габрів Луг	Habriv Luh	урочище	Житомирська обл.	р-н Коростенський	"N 50° 48’ 21"""	"E 28° 15’ 35"""
Ф-23498	Кривуша	Kryvusha	урочище	Житомирська обл.	р-н Малинський	"N 50° 48’ 25"""	"E 29° 0’ 38"""
Ф-21768	Замости	Zamosty	урочище	Житомирська обл.	р-н Малинський	"N 50° 48’ 30"""	"E 29° 26’ 24"""
Ф-22070	Козли	Kozly	урочище	Житомирська обл.	р-н Малинський	"N 50° 48’ 31"""	"E 29° 10’ 35"""
Ф-24915	Морсилка	Morsylka	урочище	Житомирська обл.	р-н Малинський	"N 50° 48’ 34"""	"E 29° 18’ 18"""
Ф-22503	Круглик	Kruhlyk	урочище	Житомирська обл.	р-н Малинський	"N 50° 48’ 38"""	"E 28° 55’ 4"""
Ф-12723	Камінь	Kamin	гора	Житомирська обл.	р-н Ємільчинський	"N 50° 48’ 40"""	"E 27° 41’ 25"""
Ф-20445	Доровле	Dorovle	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 48’ 42"""	"E 27° 51’ 45"""
Ф-21485	Гутка	Hutka	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 48’ 48"""	"E 27° 33’ 27"""
Ф-33236	Язвині	Yazvyni	урочище	Житомирська обл.	р-н Малинський	"N 50° 48’ 51"""	"E 29° 0’ 52"""
Ф-17031	Буда	Buda	урочище	Житомирська обл.	р-н Коростенський	"N 50° 48’ 53"""	"E 28° 43’ 32"""
Ф-19642	Калинка	Kalynka	урочище	Житомирська обл.	р-н Малинський	"N 50° 48’ 56"""	"E 29° 23’ 2"""
Ф-16850	Бойке	Boike	урочище	Житомирська обл.	р-н Малинський	"N 50° 48’ 7"""	"E 29° 7’ 38"""
Ф-25448	Марцинова Поляна	Martsynova Poliana	урочище	Житомирська обл.	р-н Малинський	"N 50° 49’ 12"""	"E 29° 31’ 5"""
Ф-26773	Луг	Luh	урочище	Житомирська обл.	р-н Коростенський	"N 50° 49’ 14"""	"E 28° 39’ 2"""
Ф-18639	Велике Кутишеве	Velyke Kutysheve	урочище	Житомирська обл.	р-н Коростенський	"N 50° 49’ 16"""	"E 28° 21’ 54"""
Ф-4655	Крючки	Kriuchky	урочище	Житомирська обл.	"р-н Новоград-Волинський,
Ємільчинський"	"N 50° 49’ 16"""	"E 27° 31’ 40"""
Ф-4658	Кальне	Kalne	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 49’ 19"""	"E 27° 36’ 40"""
Ф-127	Білка	Bilka	річка	Житомирська обл.		"N 50° 49’ 20"""	"E 28° 11’ 28"""
Ф-22192	Круглий Пісок	Kruhlyi Pisok	урочище	Житомирська обл.	р-н Малинський	"N 50° 49’ 22"""	"E 29° 16’ 23"""
Ф-4761	Велике Борвинське	Velyke Borvynske	урочище	Житомирська обл.	р-н Коростенський	"N 50° 49’ 30"""	"E 28° 24’ 50"""
Ф-5042	Ушомирська Дача	Ushomyrska Dacha	урочище	Житомирська обл.	р-н Коростенський	"N 50° 49’ 30"""	"E 28° 31’ 10"""
Ф-6839	Попівка	Popivka	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 49’ 34"""	"E 27° 16’ 0"""
Ф-20415	Клитня	Klytnia	урочище	Житомирська обл.	р-н Малинський	"N 50° 49’ 35"""	"E 29° 27’ 15"""
Ф-16965	Бор	Bor	урочище	Житомирська обл.	р-н Коростенський	"N 50° 49’ 40"""	"E 28° 46’ 40"""
Ф-29734	Теснівка	Tesnivka	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 49’ 44"""	"E 27° 30’ 16"""
Ф-32508	Гниляк	Hnyliak	урочище	Житомирська обл.	р-н Малинський	"N 50° 49’ 46"""	"E 29° 3’ 25"""
Ф-5090	Ракове Болото	Rakove Boloto	урочище	Житомирська обл.	р-н Малинський	"N 50° 49’ 50"""	"E 29° 0’ 40"""
Ф-28066	Окоп	Okop	урочище	Житомирська обл.	р-н Малинський	"N 50° 49’ 53"""	"E 28° 53’ 48"""
Ф-20968	Головське	Holovske	урочище	Житомирська обл.	р-н Коростенський	"N 50° 49’ 6"""	"E 28° 36’ 37"""
Ф-17385	Глибокий Яр	Hlybokyi Yar	урочище	Житомирська обл.	р-н Андрушівський	"N 50° 5’ 12"""	"E 29° 8’ 52"""
Ф-6812	Корнине	Kornyne	водосховище	Житомирська обл.	р-н Попільнянський	"N 50° 5’ 14"""	"E 29° 29’ 24"""
Ф-22763	Липняк	Lypniak	урочище	Житомирська обл.	р-н Попільнянський	"N 50° 5’ 7"""	"E 29° 29’ 9"""
Ф-6838	Лозня	Loznia	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 50’ 11"""	"E 27° 18’ 25"""
Ф-22254	Кошари	Koshary	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 50’ 16"""	"E 27° 31’ 0"""
Ф-22878	Конончуків	Kononchukiv	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 50’ 16"""	"E 27° 16’ 4"""
Ф-12740	Качуровська	Kachurovska	гора	Житомирська обл.	р-н Коростенський	"N 50° 50’ 20"""	"E 28° 9’ 55"""
Ф-24440	Млинок	Mlynok	урочище	Житомирська обл.	р-н Малинський	"N 50° 50’ 22"""	"E 29° 19’ 8"""
Ф-142	Романівка	Romanivka	річка	Житомирська обл.		"N 50° 50’ 23"""	"E 29° 16’ 51"""
Ф-20988	Довгий Брід	Dovhyi Brid	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 50’ 3"""	"E 27° 20’ 46"""
Ф-19520	Вершки	Vershky	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 50’ 30"""	"E 27° 18’ 56"""
Ф-28397	Парнище	Parnyshche	урочище	Житомирська обл.	р-н Малинський	"N 50° 50’ 34"""	"E 29° 28’ 52"""
Ф-29988	Ситне	Sytne	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 50’ 36"""	"E 27° 24’ 53"""
Ф-5039	Гуминів	Humyniv	урочище	Житомирська обл.	р-н Коростенський, р-н Малинський	"N 50° 50’ 42"""	"E 28° 54’ 0"""
Ф-16473	Березля	Berezlia	урочище	Житомирська обл.	р-н Малинський	"N 50° 50’ 44"""	"E 29° 23’ 27"""
Ф-24714	Микільські Болота	Mykilski Bolota	урочище	Житомирська обл.	р-н Коростенський	"N 50° 50’ 45"""	"E 28° 9’ 50"""
Ф-4654	Кар'єр	Karier	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 50’ 50"""	"E 27° 52’ 0"""
Ф-6832	Печище	Pechyshche	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 50’ 50"""	"E 27° 16’ 20"""
Ф-20303	Дібрівка	Dibrivka	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 50’ 52"""	"E 28° 1’ 0"""
Ф-4748	Радич	Radych	річка	Житомирська обл.	"р-н Ємільчинський, Коростенський р-
н"	"N 50° 50’ 54"""	"E 28° 12’ 10"""
Ф-21018	Грабарка	Hrabarka	урочище	Житомирська обл.	р-н Коростенський	"N 50° 51’ 0"""	"E 28° 39’ 34"""
Ф-5032	Дубовець	Dubovets	урочище	Житомирська обл.	р-н Житомирський	"N 50° 51’ 0"""	"E 28° 48’ 0"""
Ф-5087	Селище	Selyshche	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 0"""	"E 29° 18’ 0"""
Ф-27595	Рудня-Вороб'ївська Дача	Rudnia-Vorobivska Dacha	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 12"""	"E 29° 19’ 6"""
Ф-12736	Точильниця	Tochylnytcia	гора	Житомирська обл.	р-н Коростенський	"N 50° 51’ 15"""	"E 28° 12’ 5"""
Ф-24918	Морщане	Morshchane	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 51’ 15"""	"E 27° 51’ 41"""
Ф-4742	Вераси	Berasy	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 51’ 16"""	"E 28° 6’ 50"""
Ф-21428	Дубина	Dubyna	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 51’ 17"""	"E 27° 18’ 34"""
Ф-25956	Лан	Lan	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 17"""	"E 29° 22’ 4"""
Ф-21195	Живітхор	Zhyvitkhor	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 51’ 19"""	"E 27° 57’ 25"""
Ф-22580	Кошеліївка	Kosheliivka	урочище	Житомирська обл.	р-н Малинський	"N 50° 51’ 21"""	"E 28° 59’ 14"""
