Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-27631	Острів Малий	Ostriv Malyi	урочище	Полтавська обл.	р-н Семенівський	"N 49° 44’ 26"""	"E 32° 48’ 39"""
Ф-486	Крива Руда	Kryva Ruda	річка	Полтавська обл.		"N 49° 29’ 22"""	"E 32° 48’ 40"""
Ф-3649	Малий Лиман	Malyi Lyman	озеро	Полтавська обл.		"N 49° 45’ 12"""	"E 32° 48’ 48"""
Ф-26872	Рясна	Riasna	курган	Полтавська обл.	р-н Семенівський	"N 49° 34’ 15"""	"E 32° 48’ 57"""
Ф-26129	Лівочкина	Livochkyna	курган	Полтавська обл.	р-н Глобинський	"N 49° 27’ 36"""	"E 32° 49’ 46"""
Ф-476	Солоне	Solone	озеро	Полтавська обл.		"N 49° 36’ 10"""	"E 32° 49’ 55"""
Ф-3653	Ярки	Yarky	річка	Полтавська обл.		"N 49° 47’ 2"""	"E 32° 50’ 12"""
Ф-21926	Гостра	Hostra	курган	Полтавська обл.	р-н Семенівський	"N 49° 44’ 43"""	"E 32° 50’ 21"""
Ф-9053	Човнова	Chernova	урочище	Полтавська обл.	р-н Чорнухинський	"N 50° 13’ 12"""	"E 32° 50’ 48"""
Ф-27630	Острів Кут	Ostriv Kut	урочище	Полтавська обл.	р-н Семенівський	"N 49° 42’ 18"""	"E 32° 51’ 0"""
Ф-508	Іржавець	Irzhavets	річка	Полтавська обл.		"N 49° 47’ 53"""	"E 32° 51’ 0"""
Ф-7056	Дальній Низ	Dalnii Nyz	балка	Полтавська обл.	р-н Лубенський	"N 49° 54’ 48"""	"E 32° 51’ 0"""
Ф-31334	Попова-Руга	Popova-Ruha	курган	Полтавська обл.	р-н Глобинський	"N 49° 23’ 48"""	"E 32° 51’ 15"""
Ф-16327	Береза	Bereza	балка	Полтавська обл.	р-н Чорнухинський	"N 50° 19’ 40"""	"E 32° 51’ 19"""
Ф-3646	Коза	Koza	озеро	Полтавська обл.		"N 49° 44’ 11"""	"E 32° 51’ 23"""
Ф-29767	Хуторище	Khutoryshche	курган	Полтавська обл.	р-н Глобинський	"N 49° 24’ 35"""	"E 32° 51’ 37"""
Ф-9311	Кобиляк	Kobyliak	урочище	Полтавська обл.	р-н Оржицький	"N 49° 53’ 4"""	"E 32° 51’ 51"""
Ф-3647	Сага	Saha	озеро	Полтавська обл.		"N 49° 44’ 33"""	"E 32° 51’ 54"""
Ф-26830	Розділ	Rozdil	урочище	Полтавська обл.	р-н Семенівський	"N 49° 38’ 16"""	"E 32° 51’ 58"""
Ф-7059	Великий Яр	Velykyi Yar	балка	Полтавська обл.	р-н Лубенський	"N 49° 57’ 52"""	"E 32° 51’ 58"""
Ф-22400	Майдан	Maidan	курган	Полтавська обл.	р-н Семенівський	"N 49° 37’ 51"""	"E 32° 52’ 10"""
Ф-9058	Свадчина	Svadchyna	урочище	Полтавська обл.	р-н Лубенський	"N 50° 8’ 44"""	"E 32° 52’ 29"""
Ф-21677	Дубова Балка	Dubova Balka	урочище	Полтавська обл.	р-н Оржицький	"N 49° 50’ 58"""	"E 32° 52’ 32"""
Ф-32142	Яреміне	Yaremine	урочище	Полтавська обл.	р-н Семенівський	"N 49° 46’ 0"""	"E 32° 52’ 36"""
Ф-21404	Грабовікова	Hrabovikova	балка	Полтавська обл.	р-н Лубенський	"N 49° 58’ 22"""	"E 32° 52’ 44"""
Ф-507	Худоліївське	Khudoliivske	озеро	Полтавська обл.		"N 49° 44’ 11"""	"E 32° 52’ 49"""
Ф-20502	Довжик	Dovzhyk	урочище	Полтавська обл.	р-н Лубенський	"N 49° 57’ 15"""	"E 32° 52’ 55"""
Ф-3645	Баклан	Baklan	озеро	Полтавська обл.		"N 49° 43’ 50"""	"E 32° 52’ 9"""
Ф-16911	Близнюки	Blyzniuky	курган	Полтавська обл.	р-н Семенівський	"N 49° 37’ 37"""	"E 32° 53’ 0"""
Ф-25007	Матвіївка	Matviivka	урочище	Полтавська обл.	р-н Семенівський	"N 49° 47’ 6"""	"E 32° 53’ 13"""
Ф-3650	Студевське	Studevske	озеро	Полтавська обл.		"N 49° 46’ 41"""	"E 32° 53’ 32"""
Ф-19863	Дрібне	Dribne	урочище	Полтавська обл.	р-н Лубенський	"N 49° 58’ 42"""	"E 32° 53’ 33"""
Ф-29373	Худоліївка	Khudoliivka	урочище	Полтавська обл.	р-н Семенівський	"N 49° 46’ 21"""	"E 32° 53’ 37"""
Ф-19737	Зінено	Zineno	балка	Полтавська обл.	р-н Лубенський	"N 49° 59’ 24"""	"E 32° 53’ 47"""
Ф-3648	Семибокове	Semybokove	озеро	Полтавська обл.		"N 49° 45’ 11"""	"E 32° 53’ 50"""
Ф-32006	Ракитне	Rakytne	урочище	Полтавська обл.	р-н Семенівський	"N 49° 32’ 26"""	"E 32° 53’ 52"""
